17124524	2020-04-06T23:59:23.000Z	1247312982171742208	Yeah I do not go out much @ Hermosa, Chicago 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.73, 41.92]}}
374775423	2020-04-09T06:09:55.000Z	1248131005275344901	Been reducing my IG consumption the last two days. Going to work on reducing twitter as well. I’m way too consumed and need to use time more wisely.	{'place_id': '1d9a5370a355ab0c'}
3855140355	2020-04-09T05:09:50.000Z	1248115883693785088	Every time I go out, my left hand and my phone stay in my left pocket with a small bottle of hand sanitizer. I don’t touch *anything* in the store with my left hand. It stays in the pocket. As soon as I’m out, that left hand pops open the hand sanitizer & applies it to the right. 	{'place_id': '5b217454f4bd5f04'}
97187811	2020-04-09T04:41:41.000Z	1248108800894210050	  I haven’t celebrated my September birthday proper in years but I would definitely entertain a combined rager for everyone that missed theirs. If we miss most of summer we’re gonna need to go out with a bang.	{'place_id': '1d9a5370a355ab0c'}
867439412166230017	2020-04-09T03:23:41.000Z	1248089171304030208	I don't wanna hear it...I'm only going out for Weed and Blunts! 	{'place_id': '73e0840af6e39b35'}
2834257338	2020-04-09T03:12:25.000Z	1248086336600510468	My Sister is a Health Hero; she risks her life by going to work but continues to watch and care for the patients. Thank you and God bless you! ❤️ 👏🏻👏🏻👏🏻 	{'place_id': '1d9a5370a355ab0c'}
301170383	2020-04-09T03:06:59.000Z	1248084969945169920	  the CDC head just said you can go to work If you are asymptomatic & have been exposed to the Covid-0. No the Fuck you shouldnt.This Administration is trash Do NOT take advice from Trump &his sycophants  	{'place_id': '1d9a5370a355ab0c'}
31853596	2020-04-09T01:44:17.000Z	1248064157955624961	I miss telling everyone that I’m not going out tonight and feeling special because of that.	{'place_id': '1d9a5370a355ab0c'}
928557770	2020-04-09T01:07:56.000Z	1248055010048577536	I turn 0 in 0 days but I work and I’ll be home right after. Cant go out to celebrate ☹️	{'place_id': 'fcf61be5379bfe18'}
315468935	2020-04-09T00:43:24.000Z	1248048835995328512	Damn i hate weed that go out fast asl	{'place_id': '1d9a5370a355ab0c'}
813875276136517632	2020-04-09T00:40:05.000Z	1248048000716484608	Obviously my heart and soul go out to everyone affected by this fucking virus. I’m following all the rules, wear a mask if I have to leave and I sit at home, waiting, waiting, waiting.	{'place_id': '1d9a5370a355ab0c'}
813875276136517632	2020-04-09T00:40:05.000Z	1248047999198072833	And as awful as this is to say, I’m pissed. I’m pissed at everything I’m missing out on right now. Not just simple things like going out to eat, but LIVING. Call me selfish, I don’t care. But it’s the truth.	{'place_id': '1d9a5370a355ab0c'}
2958139689	2020-04-09T00:31:25.000Z	1248045818977943552	I miss being late to school 🥺🥺	{'place_id': '1d9a5370a355ab0c'}
1174837546494386176	2020-04-09T00:31:10.000Z	1248045756931543047	I'm keeping it cat lady classy when I have to go out! 	{'place_id': '000a381c49091836'}
18665611	2020-04-09T00:24:37.000Z	1248044106196176897	   So if you can’t afford college? You don’t deserve it and shouldn’t go? So only kids with parents who can afford it or kids who want to gamble on their future should go to college?	{'place_id': '1d9a5370a355ab0c'}
272517478	2020-04-11T22:46:17.000Z	1249106523286110209	When you absolutely have to go out....to get booze 😷🍷🍾🍸 	{'place_id': '1d9a5370a355ab0c'}
1936317295	2020-04-11T22:18:46.000Z	1249099601321185280	I had to go out to work and enjoyed talking to humans today and I'm enjoying the shit out of Sigma Oasis. What has become of my innate cynicism and general displeasure of human connection?	{'place_id': '1d9a5370a355ab0c'}
376620001	2020-04-11T20:47:40.000Z	1249076675025010693	i just wanna go out and dance and party	{'place_id': '1d9a5370a355ab0c'}
784500802337529857	2020-04-11T20:30:53.000Z	1249072450631073793	Don't think there are no second chances. Life always offers you a second chance… It's called tomorrow. Sometimes in life, you're not always given a second chance, but if you do, take advantage of it, and go out with… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.68006, 41.65522]}, 'place_id': 'fb0971608411ae20'}
541076981	2020-04-11T19:40:47.000Z	1249059841085190149	I’m ready to go back to school . I been irritated since I got here	{'place_id': '1d9a5370a355ab0c'}
2565018182	2020-04-11T19:22:45.000Z	1249055304806998019	Shit sucks, risking my safety as well as my children to go to work to try to keep up with my bills 🤦🏼‍♀️💙 ya  	{'place_id': '1d9a5370a355ab0c'}
1189940197443670017	2020-04-11T19:13:36.000Z	1249052999802028033	Lol I know I can’t wait to go out of town with u 	{'place_id': '97ae6559498bd23d'}
467762266	2020-04-11T18:04:41.000Z	1249035657428828166	My kids are singing  hit “School’s Out” and they keep singing “schools out for ever” and I’m torn.  I ecstatic they’re singing Alice Cooper, I’m a wreck that they’re not going back to school any time soon.	{'place_id': '1d9a5370a355ab0c'}
17899531	2020-04-11T17:44:01.000Z	1249030456328192001	 Why go out?  Just eat the blue gel.	{'place_id': '8b351eeb91372dc7'}
34000602	2020-04-11T16:53:35.000Z	1249017765714972672	I’ll let my new meds and my fear of going to work (and still going) during a worldwide pandemic do that 	{'place_id': '1d9a5370a355ab0c'}
61366106	2020-04-11T15:26:00.000Z	1248995725754552322	All I know is when all the fuss is done life won't be the same. Grocery shopping won't be the same. Going out to eat at restaurants won't be the same. Going to events won't be the same. I just want to know how to move out here in these streets in the future	{'place_id': 'fb0971608411ae20'}
222554866	2020-04-11T15:14:20.000Z	1248992788181585920	I have respect for Everyone that’s going out in this pandemic and working “Essential workers” BUT DONT TRY TO COUNT OUT THE SECURITY FIELD.. like we arent taking risk!!!	{'place_id': '1d9a5370a355ab0c'}
805417656874516480	2020-04-11T14:13:38.000Z	1248977513793105922	I know the garbage need to go out ...but u see I’m at the end of the mission u been right next to me complaining the whole time don’t remind me as I’m bouta win throws my concentration 	{'place_id': '1d9a5370a355ab0c'}
619349335	2020-04-11T12:38:32.000Z	1248953581455257601	“You right baby let’s not even argue about it  let’s go out for some dinner my treat” 😏 	{'place_id': '07d9f4a9fe087001'}
365384244	2020-04-11T08:19:53.000Z	1248888489606856705	Bro this is the 0rd weekend I see my cousin go out w her friends always on some “wwo this weekend” and she keeps putting my uncles in danger😓 I swear ppl like her don’t listen until something serious actually happens	{'place_id': '1d9a5370a355ab0c'}
758720802	2020-04-11T05:46:44.000Z	1248849948373921792	Bro I want to go to work, I want to start my process for Invisalign, I want to go on my vacation and I want my life that I worked so fucking hard for to not be on pause cause everyone wants to think this is a vacation and party all the time. I’m tired of this ☹️	{'place_id': '1d9a5370a355ab0c'}
827050596591083520	2020-04-11T05:07:34.000Z	1248840090480259073	 they love going out of stock.	{'place_id': '1d9a5370a355ab0c'}
380191960	2020-04-11T05:00:40.000Z	1248838354642272259	How do people just go to work and go home? I hate it here	{'place_id': '1d9a5370a355ab0c'}
14400048	2020-04-11T04:56:09.000Z	1248837216765345792	Dig up from the archives  but I doubt it’s very different if I were to go out there!  @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
364489291	2020-04-11T03:29:27.000Z	1248815399745060864	none of my boyfriends will text me back and I can’t even go out and meet a new one 🥺 I hate it here	{'place_id': '1d9a5370a355ab0c'}
29532073	2020-04-11T02:47:27.000Z	1248804826810585093	Sometimes I answer questions with a question.Wife: Do you think we should all be going out and going to work again?Me: Have you been reading social from our Texas friends again?	{'place_id': 'c5be6cc8c8fd4263'}
1896079111	2020-04-11T01:09:56.000Z	1248780288081178625	I spend way too much money going out to eat 	{'place_id': '08695e38fe9e7edf'}
27514420	2020-04-11T00:31:27.000Z	1248770603785609218	I wonder where she went to school lol	{'place_id': '1d9a5370a355ab0c'}
416802614	2020-04-11T00:26:28.000Z	1248769349726490626	 No no I’m talking about people still going out and hanging out with friends	{'place_id': 'f8bb6bbc8348d594'}
101360717	2020-04-12T23:53:50.000Z	1249485912507105281	I’m so desperate for socialization I would go out in WRIGLEYVILLE right now	{'place_id': '1d9a5370a355ab0c'}
2827211946	2020-04-12T23:52:56.000Z	1249485686664826880	Honestly, I don’t feel like I’m quarantined at all. You can still go out and do most things. Or maybe my everyday life is just like this 😅	{'place_id': '5b217454f4bd5f04'}
368585409	2020-04-12T23:37:49.000Z	1249481882770735106	Babe went back to school, education na scam lol 	{'place_id': '1d9a5370a355ab0c'}
299354926	2020-04-12T23:32:27.000Z	1249480530405588992	Happy Easter! Things I did today that made dad happy: 0) no accidents; 0) went to the door to go out (x0); 0) hung out in my crate without being asked; 0) let dad shower without going… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
1102704165464215568	2020-04-12T23:31:16.000Z	1249480232500973568	Damn ... I think I’m going back to school next year	{'place_id': 'f1dfa58974449052'}
389489545	2020-04-12T22:47:35.000Z	1249469238240251915	A lot of folks are asking why are we selling bombers. To answer: we are bottling off the kegs that were suppose to go out but the stay at home order prevented the delivery. Our canning machine does not work very… 	{'coordinates': {'type': 'Point', 'coordinates': [-87.7459, 41.96032]}, 'place_id': '1d9a5370a355ab0c'}
1116363675059748865	2020-04-12T22:13:50.000Z	1249460748104933378	My aunt called me to tell me that they asked for her ID cause she looked too young to be buying wine. Like what minor is going out to buy wine. 😂	{'place_id': '1d9a5370a355ab0c'}
14121232	2020-04-12T21:00:17.000Z	1249442238796611587	 I’ve seen way too many people use their birthday as a reason to go out. I made a wine flight for my  fiancé with watching travel shows from the region those wines are from and it was fun. And we didn’t have to go outside at all.	{'place_id': '1d9a5370a355ab0c'}
613922208	2020-04-12T19:30:56.000Z	1249419751761367040	STAY HOME SO WE CAN GO OUT LATER. No es dificil de entender BA BO SOS	{'place_id': '50f296a1bd4198b6'}
2696777882	2020-04-12T17:11:48.000Z	1249384737606709248	When this is all over I wanna go out with a group of fun ass girls and shake my ass and just get fucking lit.	{'place_id': '20c885d40cb26f0f'}
275875389	2020-04-12T16:56:50.000Z	1249380971390083072	 Once this shit blows over and we can go out, first place were going is federales !!	{'place_id': '1d9a5370a355ab0c'}
3024959331	2020-04-12T15:39:10.000Z	1249361423777574913	When this shit over go out there at least for a pop up shop 	{'place_id': '1d9a5370a355ab0c'}
265038357	2020-04-12T14:12:47.000Z	1249339687619133440	We still have 0 walls of gunpla! Shop our store 0/0 at  Shipments will go out Monday! @ Nakama Toys 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6976536, 41.9268522]}, 'place_id': '1d9a5370a355ab0c'}
18358023	2020-04-12T13:25:31.000Z	1249327790656192512	  Are you talking about the same guy who served cold fast food to college students at the White House? THAT’S the guy you’re depending on?	{'place_id': '1d9a5370a355ab0c'}
304734580	2020-04-12T10:49:51.000Z	1249288615789821952	im so lazy to get ready and go to work 😔😔😔😂	{'place_id': '1d9a5370a355ab0c'}
97613792	2020-04-12T09:32:48.000Z	1249269224180195328	 i did too but do you think kids care about that or if thats for us.. like i use to go out and buy slick rick albums when i was 0 years old. cuz i love hip hop	{'place_id': '1d9a5370a355ab0c'}
473291314	2020-04-12T04:10:38.000Z	1249188152109142017	 Andy clearly had daddy issues that would resurface. He gave Woody to Bonnie, when he was ready to bring him with to college. He trusted her & she left him in the closet. I think we have enough motive. 🎥	{'place_id': '1d9a5370a355ab0c'}
2288799955	2020-04-12T03:52:15.000Z	1249183524017627136	I think the fear and anxiety of going to work would diminish if I had a  mask. With fabulousness on my face and  songs in my ears. Man what a mindset to start my shift   	{'place_id': '1d9a5370a355ab0c'}
379567035	2020-04-12T03:51:05.000Z	1249183232094023686	 It's all the quartine stuff and not being able to go out	{'place_id': '1d9a5370a355ab0c'}
722772954	2020-04-12T03:13:17.000Z	1249173715927158789	 Love blood 🤞🏾❤️ couldn’t go out like that	{'place_id': '1d9a5370a355ab0c'}
95215221	2020-04-12T02:49:25.000Z	1249167711541886977	I can finally say I miss going to work 😢	{'place_id': '1d9a5370a355ab0c'}
748758766414278656	2020-04-12T02:25:53.000Z	1249161787297214465	Guys stop going out places I miss my girlfriend	{'place_id': 'ed888f00de07aa3a'}
2607998905	2020-04-12T02:21:22.000Z	1249160654323437568	On the bright side: you can’t go out anyway. 🤷‍♂️ 	{'place_id': '47628c71a783286b'}
65462997	2020-04-12T01:14:31.000Z	1249143829543993344	Naw fr I miss going out, getting drunk, and then drunk eating food with my eyes closed	{'place_id': '1d9a5370a355ab0c'}
3906956774	2020-04-12T00:17:11.000Z	1249129401331089416	 We were advised to take caution going out because of this demolition. We have already been taking caution because of the virus now this and Chicago Fire calls the demolition a success. WTH IS GOING ON? 	{'place_id': '1d9a5370a355ab0c'}
