2309776601	2021-04-26T23:52:59.000Z	1386830699349504001	U wear wedges on a date wit me, you payin ! And it’s not negotiable	{'place_id': '741e9df4d2522275'}
154416309	2021-04-30T21:50:10.000Z	1388249342213984257	Ooooooo she said she’s gonna take me on a date just to show some appreciation. 	{'place_id': '3b77caf94bfc81fe'}
46390179	2021-04-30T21:50:03.000Z	1388249313587863556	***post-WEDDING WHERE DID MY WORDS GO HAHAHAHAHAH	{'place_id': '56909099a1d44057'}
1225109065778335744	2021-04-30T21:20:28.000Z	1388241868798889985	Rent one our venues for your next event, filming or wedding today!     	{'place_id': '3b77caf94bfc81fe'}
1090683186424832000	2021-04-30T21:10:39.000Z	1388239399654019072	There will 0% be a smoke only section at my wedding lol	{'place_id': '3b77caf94bfc81fe'}
953557670103076864	2021-04-30T21:05:20.000Z	1388238061541097475	Okay I knew not going to the gym in a year I’m much smaller and wouldn’t be able to lift at the level I was. But I didn’t expect for it feel like my muscle memory is gone…	{'place_id': '3b77caf94bfc81fe'}
2531044016	2021-04-30T19:26:58.000Z	1388213304372305921	me: I give up on dating. also me: since the big lots is right by the motorcycle shop.... maybe i’ll find a hot biker boyfriend of I go shopping there lol	{'place_id': '3b77caf94bfc81fe'}
2838323515	2021-04-30T18:41:21.000Z	1388201824302288896	So this is the  meetup? 	{'place_id': '3b77caf94bfc81fe'}
1257343955563245569	2021-04-30T18:28:00.000Z	1388198465813946369	 Nah he went to the party in a power ranger suit . If you don’t know the details don’t talk on it 🤣😈😈	{'place_id': '3b77caf94bfc81fe'}
2849434710	2021-04-30T18:20:19.000Z	1388196531149279233	went to the gym this morning and put my playlist on shuffle. the universe chose violence for me today 🤙 	{'place_id': '11c1b27a80d43002'}
3152399270	2021-04-30T17:42:29.000Z	1388187010972667908	I should go to the gym	{'place_id': '3b77caf94bfc81fe'}
973708360359936001	2021-04-30T17:40:36.000Z	1388186535711834114	I literally made a joke about getting booked at divorce and wedding and now I’m booked at both.	{'place_id': '3b77caf94bfc81fe'}
2476216074	2021-04-30T17:30:31.000Z	1388184000464756737	And I plan to continue pregaming everything! My wedding, my friends better pregame while I’m having my baby, and my funeral lmfaooooo 	{'place_id': '3b77caf94bfc81fe'}
59238408	2021-04-30T17:18:42.000Z	1388181025541562371	Cinco De Mayo treats! Tres Leches Shooters with Cognac! Churro cupcakes, Horchata cupcakes and Mexican wedding cookies! How do you fiesta?  @ Tiffany's Catering 	{'place_id': 'fa424f169eef946e', 'coordinates': {'type': 'Point', 'coordinates': [-118.14388862, 34.04029219]}}
956973419035115520	2021-04-30T16:55:24.000Z	1388175162441224193	I wanna go on a date with weed	{'place_id': '3b77caf94bfc81fe'}
53004145	2021-04-30T16:51:26.000Z	1388174163588706306	  Agh I saw! That’s Hannah’s wedding 🥲	{'place_id': '01c060cf466c6ce3'}
1309547152343887872	2021-04-30T16:15:59.000Z	1388165242065018882	White toes means what? Oh okay i got that WAP      	{'place_id': '3b77caf94bfc81fe'}
1292719464614567937	2021-04-30T15:47:28.000Z	1388158068077195269	Woo I went to the gym this morning and got Fergielicious in my head so now it's  Friday and it's LIT! 	{'place_id': '3b77caf94bfc81fe'}
311256242	2021-04-30T15:30:05.000Z	1388153690956079104	I think I found my wedding shoe 😍🥰	{'place_id': '3b77caf94bfc81fe'}
1336907372904628225	2021-04-30T14:36:51.000Z	1388140294311317513	came to the gym alone and i feel so awkward i want to leave 🥴😅	{'place_id': '3b77caf94bfc81fe'}
3227751451	2021-04-30T13:41:58.000Z	1388126485165137921	These are my pre wedding expectations 	{'place_id': '01c060cf466c6ce3'}
31498484	2021-04-30T07:25:30.000Z	1388031741454024704	Also, decided I’m not having bridesmaids in my wedding Hahhahahhah.	{'place_id': '3b77caf94bfc81fe'}
1218403633236078592	2021-04-30T07:17:55.000Z	1388029834660438016	Me: we should go to the gym at 0:0amCarmen: *laughs*	{'place_id': 'cf2d9d01f16e9bd4'}
3431717713	2021-04-30T07:04:11.000Z	1388026377845174272	And if that nigga said he loves you like he do, where’s yo wedding ring ?? 	{'place_id': '3b77caf94bfc81fe'}
269535692	2021-04-30T07:03:05.000Z	1388026100194811906	I want to go to the gym but my right shoulder bugging me	{'place_id': 'd71cc91cb651e322'}
961819129672957952	2021-04-30T05:14:42.000Z	1387998825202143233	Great meetup tonight 🏆🎉 	{'place_id': '3b77caf94bfc81fe'}
739855488	2021-04-30T04:40:53.000Z	1387990316955836417	  No idea why 🤷🏼‍♀️ Literally nothing changed. I was on the fence about replacing it because the first one didn’t help much, but as I was moving from Oregon (fully covered) to a place in Ohio I’d heard stories of needing a wedding ring to refill birth control RXs... glad I did!	{'place_id': 'dbd7fea9eedaecd0'}
1227763970901041153	2021-04-30T04:14:00.000Z	1387983548485832711	  Piers has been cyberstalking Meghan Markle for 0 years. He has been telling a delusional story about him going out on a date with her. The only thing rude thing Mariah did is not making him wait for ever	{'place_id': '1193edda55d6fa3d'}
161687793	2021-04-30T04:05:34.000Z	1387981427757641730	need to hear harry styles vocals on take me to church!!!!!!	{'place_id': '3b77caf94bfc81fe'}
780273386991726592	2021-04-30T03:39:10.000Z	1387974783095087106	woke up from that nap sweaty, with heartburn, & a wedding scene playing on the tv, huhhhh goodnight yet again	{'place_id': '3b77caf94bfc81fe'}
924543712604012544	2021-04-30T02:59:53.000Z	1387964900018900993	I think my car is broken I was supposed to go to the gym and I ended up at el mercadito w some raspados... 😒😩	{'place_id': '3b77caf94bfc81fe'}
1227763970901041153	2021-04-30T02:24:19.000Z	1387955948694609920	    Wow. I truly thought the wedding cost more than that.. in that case the UK OWES Meghan a cool 0, MILLLION pounds.	{'place_id': '1193edda55d6fa3d'}
988568589581012992	2021-04-30T02:00:51.000Z	1387950043068452864	I’m sending eric a bunch of dress ideas for his moms wedding, and he tells me he wants to match. 🙃🙃 but what are you gonna wear then? So I can plan my outfit	{'place_id': 'c2ad98c80a97adde'}
45463439	2021-04-30T01:52:52.000Z	1387948032809857025	  That looks seriously delicious & I'm really upset I've not been able to eat out in Koreatown for the last year	{'place_id': '3b77caf94bfc81fe'}
43001411	2021-04-30T01:11:17.000Z	1387937568365318146	  Best meat to bbq	{'place_id': '3b77caf94bfc81fe'}
1358584396031291394	2021-04-30T00:18:26.000Z	1387924267598159874	I feel like BCAAs never really work for me, I still always be going to the gym and leaving sore af	{'place_id': '67571a7baaa5906b'}
913607658	2021-05-01T23:06:13.000Z	1388630868655173634	   Lol; I feel like everyone went to that wedding but me! 😂	{'place_id': '01c060cf466c6ce3'}
28353808	2021-05-01T23:01:19.000Z	1388629637937303552	  Welcome to the party, Derek! :)	{'place_id': '3e5f2219d3106113'}
262841011	2021-05-01T22:35:01.000Z	1388623019136864256	My mom: it's not too late to change your mind and come to your brother's wedding. Me: I'm going to a fight. Yall have fun tho.	{'place_id': '56909099a1d44057'}
753010804061011968	2021-05-01T22:20:34.000Z	1388619383514165250	someone take me on a date thanks 🥰	{'place_id': '3b77caf94bfc81fe'}
25203689	2021-05-01T22:06:09.000Z	1388615752425504769	two of the TINIEST margaritas in the world just got me 🔥🔥🔥how?! damn. I’d be a good date.take me to a bar and I’m good from one drink 🥵	{'place_id': 'b0b79caecef59fb5'}
162309709	2021-05-01T22:05:40.000Z	1388615633831489537	Enjoying some Haunted Mansion Wedding Cake. Feels SO incredible to be back in Disneyland!!  	{'place_id': '07d9d21e19087002'}
260867256	2021-05-01T22:05:40.000Z	1388615633240162304	Wedding reception festivities 😎	{'place_id': '48acdded0b77e66f'}
248135355	2021-05-01T19:37:39.000Z	1388578382749732871	If I don't work tonight I'm gonna go to the gym because it's open now I mean the gym in my building  it's so wonderful	{'place_id': '3b77caf94bfc81fe'}
831990960	2021-05-01T19:06:37.000Z	1388570573190533122	First and last time we take our pandemic baby to a restaurant. 0yo freaked out too. Will try again in 0 more years.	{'place_id': '3b77caf94bfc81fe'}
43275342	2021-05-01T18:58:48.000Z	1388568606179348480	I love weddings & the sermon , especially because ours we just Vegas wedding and they just read to us. Each time they are talking to the groom and bride about what marriage truly means I listen so intently 💙 	{'place_id': '3b77caf94bfc81fe'}
950206202322931712	2021-05-01T18:54:42.000Z	1388567571482304512	Wearing an all black fit to the gym be having you feeling like that bitch	{'place_id': '56909099a1d44057'}
45058929	2021-05-01T18:49:36.000Z	1388566288423809024	I told Maryann I wanted to renew our vows and have a ceremony AGAIN because our wedding was lit as fuck 😂😂😂	{'place_id': 'e6fc035b8939bd3b'}
198420647	2021-05-01T18:00:42.000Z	1388553984873357312	 That’s what you wear to the gym?	{'place_id': '3b77caf94bfc81fe'}
224509677	2021-05-01T17:40:32.000Z	1388548910486982659	I gotta go shopping and cook for a dinner tonight yet I’m still in the bed 😩 I really thought this shit was tomorrow 🙄😂🤦🏽‍♀️	{'place_id': '3b77caf94bfc81fe'}
16145327	2021-05-01T17:36:52.000Z	1388547984065847297	 ThreadToday marks the 0th anniversary of the release of ’s  Here’s a funny story tangentially related to that:January 0... My wife & I are celebrating our 0th wedding anniversary at Grace - a now-defunct restaurant - here in LA. 	{'place_id': '3b77caf94bfc81fe'}
1016214126685638656	2021-05-01T17:17:57.000Z	1388543227523862528	Went to sleep at almost 0 am, woke up @ 0:0 am. Had bfast, went to target, came to my nail appt. @ 0, going to the mall after and making it to my make up appt. @ 0:0 pm even though I’m in desperate need of a nap.  	{'place_id': 'e9b2c8beb5442ec5'}
911278736087109633	2021-05-01T17:16:43.000Z	1388542916340027393	If you have EVER been to a party were I have been WASTED, you know this is exactly what I do. 😂😂😂 	{'place_id': '3b77caf94bfc81fe'}
345794797	2021-05-01T17:01:14.000Z	1388539020309762053	I'm going to the gym for the first time since the pandemic began ☺️	{'place_id': '3b77caf94bfc81fe'}
711006440719196160	2021-05-01T16:11:07.000Z	1388526406749937669	I told my sister in law I wanted to go shopping and she sent me an entire list of things I should buy LMFAOOO 	{'place_id': '0c2e6999105f8070'}
1160032572186849281	2021-05-01T16:07:17.000Z	1388525442357809157	Going to the gym isn’t fixing thy depression	{'place_id': '3b77caf94bfc81fe'}
320510402	2021-05-01T14:59:24.000Z	1388508359406493696	 Welcome to the Gym with Big flag club! 🇺🇸	{'place_id': '3b77caf94bfc81fe'}
753010804061011968	2021-05-01T06:49:59.000Z	1388385193933819906	"Ok maybe it's cuz I'm tipsy but lemme not sell myself short....I looked in the mirror just now and thought ""awww what a cutie"" and fucking tell me how I turn 0 this year and have never been/asked on a date"	{'place_id': '3b77caf94bfc81fe'}
122459876	2021-05-01T05:31:26.000Z	1388365422857134081	 Maid in Manhatten The Wedding Planner Anaconda Monster in LawWhat to expect when expecting Hustlers (Amazing btw) Gigli She’s the ROM Com queen as well. Good day	{'place_id': '3b77caf94bfc81fe'}
22753399	2021-05-01T05:09:27.000Z	1388359893741031424	Headed to the gym on a Friday night…I’m so wild 😂	{'place_id': '3b77caf94bfc81fe'}
58974969	2021-05-01T04:53:45.000Z	1388355943050604549	Shits weird going shopping for 🌲. Just felt different aha	{'place_id': 'dd9ada4135bc9668'}
269535692	2021-05-01T04:23:47.000Z	1388348401595551744	I want to go to the gym but my right shoulder needs to heal 🥲	{'place_id': 'd71cc91cb651e322'}
806223275953160192	2021-05-01T03:44:35.000Z	1388338536995196934	I really want something cute and sexy like this to wear to a wedding I’m attending in June but I honestly don’t know if I should risk this dress type wort my body shape 🥴🥴 	{'place_id': '6f24e28976abe656'}
3708032653	2021-05-01T03:34:30.000Z	1388335999558639617	I just want to go on a date. But that means I need to like someone first. 🙄 lol	{'place_id': '01c060cf466c6ce3'}
1083382129	2021-05-01T03:08:35.000Z	1388329474895216644	Most definitely.... honorable mention: “The Wedding Planner” 	{'place_id': '3b77caf94bfc81fe'}
1316072781126103041	2021-05-01T02:50:02.000Z	1388324806009839618	😬😬😬  don’t forget to go to the movies , laugh, be scared for a bit , enjoy lol  	{'place_id': '3b77caf94bfc81fe'}
2831185944	2021-05-01T02:03:16.000Z	1388313038017548291	Lmao I bought new outfits and now I want to be taken out on a date	{'place_id': '3b77caf94bfc81fe'}
902644599310745600	2021-05-01T02:02:56.000Z	1388312952307027969	It’s either I go to the gym and get pimples bc of this mask or don’t go to the gym and clear face 🤔 what we thinking?	{'place_id': '3b77caf94bfc81fe'}
248135355	2021-05-01T01:52:42.000Z	1388310378757558272	I wasn't allowed to really go to the movies when I was a kid even if we had money my mom didn't really approve too much so	{'place_id': '3b77caf94bfc81fe'}
1337092240813006849	2021-05-01T01:39:12.000Z	1388306982596059141	😂🤚🏽 can some girl go shopping with me so i can picc somebody out sum shit i needa girly girl opinion	{'place_id': '3b77caf94bfc81fe'}
262841011	2021-05-01T01:19:27.000Z	1388302013130166275	I had completely forgotten my brothers wedding is tomorrow 💀My mom wants me to do her makeup lmfaoooo	{'place_id': '01c060cf466c6ce3'}
2773945423	2021-05-01T00:48:18.000Z	1388294170981412865	Meeting you was fate✨Loving these engagement photos! Tap tap & TAG a bride to be💕..Book the Palisades Villa Estate for your upcoming wedding & engagement photos or events! Click the link in our bio for bookings👆🏻👆🏻 	{'coordinates': {'type': 'Point', 'coordinates': [-118.535398, 34.056051]}, 'place_id': '3b77caf94bfc81fe'}
727579052	2021-05-01T00:47:34.000Z	1388293985865584640	Let’s fucking go!!! Best wedding gift ever! 	{'place_id': 'bcd6f5a92e969e33'}
33932913	2021-05-01T00:29:11.000Z	1388289359665786881	 what is the point of a mask mandate if no one follows it? For the past two days I’ve seen many people wear their mask around their necks instead of their face. I get pulling it down for a drink - but this isn’t that. Whole workouts are mask down.	{'place_id': 'b0b79caecef59fb5'}
182299947	2021-05-01T00:10:13.000Z	1388284588909232133	Is it 0 o'clock yet? Im ready for a drink 	{'place_id': 'f2b1ac6c9d15503f'}
