2020-01-20T23:48:04.000Z	1219406266755354625	It's kinda weird not going back to school not gonna lie.	{'place_id': '48b5e9defad76941'}
2020-01-21T02:29:42.000Z	1219446944189362177	 It happened on Saturday, January 0th.... Eleven members attended our first new members class of 0! After the new members are presented to the Session, the members attend the class taught… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.21988477, 40.75359526]}, 'place_id': '858cec499f8adba6'}
2020-01-21T02:28:48.000Z	1219446716233109514	I Really wanna Go out to Boston and see a Celtics Home game so bad!!	{'place_id': '94542c3c348faf28'}
2020-01-21T02:17:31.000Z	1219443877414866944	Lakers should find 0 guys to go out there and play with Bron and AD.	{'place_id': '01a9a39529b27f36'}
2020-01-21T01:59:28.000Z	1219439336745308161	 used to go out by myself all the time, it literally forces you to socialize and make friends	{'place_id': '002e24c6736f069d'}
2020-01-21T01:57:24.000Z	1219438814483091457	Sometimes I wonder what life would be like if I didn’t go to college	{'place_id': '01a9a39529b27f36'}
2020-01-21T01:38:46.000Z	1219434127298002945	I don’t want to go to work tomorrow ☹️	{'place_id': 'b046074b1030a44d'}
2020-01-21T01:33:34.000Z	1219432818822078465	Something that helps me when I struggle and I cross that line is “Dear God, I sinned yesterday, I sinned again today? And I'm planning to go out and do the same sin tomorrow. In Jesus name, please forgive me...	{'place_id': 'b046074b1030a44d'}
2020-01-21T01:26:38.000Z	1219431072729124865	guys who ask you how your day was, say good morning/goodnight, hit you up to actually go out and do things: 🥴😴😒guys who only talk to you when u hit them up first, only ever wanna hang at home, only hit you up to fuq: 🤩🥰😋me when i choose the second one: 🤡	{'place_id': '00c39537733fa112'}
2020-01-21T01:16:54.000Z	1219428625205866498	I wanna go out more but I all I do is work & go home	{'place_id': '858cec499f8adba6'}
2020-01-21T01:11:23.000Z	1219427236299886593	Power going out bad like GOT 👀	{'place_id': '011add077f4d2da3'}
2020-01-21T00:50:16.000Z	1219421921827225600	i’m glad i started drinking early in high school cus imagine me going out and making a damn fool of myself as an adult? now? lol	{'place_id': '00c39537733fa112'}
2020-01-21T00:39:03.000Z	1219419098066694144	I should go out for my birthday this year	{'place_id': 'e4faa50d904ab815'}
2020-01-21T00:38:31.000Z	1219418966411661312	 Meal prep before you go out	{'place_id': '011add077f4d2da3'}
2020-01-21T00:26:54.000Z	1219416041614446593	i’ve been going to work bareface lately because i’m normally tired when I wake up & I really want to get back into the routine of putting on a little lash & some gloss, so tomorrow morning i’m going to wake up early to look a little pretty in office.	{'place_id': '011add077f4d2da3'}
2020-01-21T00:00:19.000Z	1219409350508281857	 Lol. I went to school but didn't really go to school. 	{'place_id': '002e24c6736f069d'}
2020-01-22T23:45:57.000Z	1220130511340941312	Going back to school has been on my mind all day	{'place_id': '01a9a39529b27f36'}
2020-01-22T23:36:01.000Z	1220128009816018947	i told the world i didnt wanna go out, spend money, or look presentable u til may and then got invited to 0 bdays all on the same weekend 🙃🙃🙃	{'place_id': '00c39537733fa112'}
2020-01-22T23:12:58.000Z	1220122210481922053	If you date me ,when we go out price is Irrelevant	{'place_id': '002e24c6736f069d'}
2020-01-22T23:09:35.000Z	1220121361441591297	tRump & Republicans are the greatest danger to the Republic with their cover up & lies. We must stay vigilant & be prepare to go out & vote in the greatest number ever on November 0rd 0 if we want fair future in this country. 	{'place_id': '00c39537733fa112'}
2020-01-22T23:04:44.000Z	1220120138948796418	I can’t believe any adult thought lunchables, aka three mini crackers with microscopic amounts of processed cheese, was a nutritious lunch option. My parents, on the other hand, sent me to school with a three course meal. Also not the best idea.	{'place_id': '011add077f4d2da3'}
2020-01-22T22:54:17.000Z	1220117507706585093	I'm at a place in my life where errands are starting to count as going out.	{'place_id': '011add077f4d2da3'}
2020-01-22T22:48:57.000Z	1220116168339533824	How you feel when you have to look for cheap laptops cuz want to go back to school for your master's degree after heart surgery but someone stole yours  	{'place_id': '23a06e5cc6d83009'}
2020-01-22T22:31:26.000Z	1220111757865365504	 Did you go out today?	{'place_id': '011add077f4d2da3'}
2020-01-22T22:29:08.000Z	1220111180771053569	Nice for Eli Manning to retire on his own terms and not going out like Brett Favre.	{'place_id': '011add077f4d2da3'}
2020-01-22T21:31:49.000Z	1220096755217444864	 Thanks my guy I'll check it out I'm going to school get me a trade gonna be an electrician since I'm all about fixing arcade sticks and wanna learn how to build them from scratch might as well .	{'place_id': '01a9a39529b27f36'}
2020-01-22T21:27:45.000Z	1220095731996024833	Hows everybody day going I'm here at work ready to go . I need to make a big change I been mad bored and sometime feel I dont know what I wanna do . Neither tho I figured out what I'm going back to school for I'm like is that the right decision?	{'place_id': '01a9a39529b27f36'}
2020-01-22T20:56:49.000Z	1220087946558287873	 I work in schools all over NYC doing college and career readiness, I cater to specific needs of the student body so classes I facilitate range from college access, financial literacy, test prep,  to social emotional learning & more. I love it!!! I be so geeked to go to work!	{'place_id': '011add077f4d2da3'}
2020-01-22T20:49:09.000Z	1220086019367874567	 Agree Schiff is awesome he showing what is to be not a good prosecutor but an excellent one he’s taking a lot of them to school and showing the American people that he has there back	{'place_id': '011add077f4d2da3'}
2020-01-22T20:47:14.000Z	1220085534401400834	 I can go out Friday night so I hope you can also go out Friday night because that is when I am free. So Friday night?	{'place_id': '00c55f041e27dc51'}
2020-01-22T20:29:49.000Z	1220081151315992584	The Roast pork, broccoli rabe, & sharp provolone sandwich at mamas_too is worth going out of your way for @ Mama's Too 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96766, 40.80084]}, 'place_id': '01a9a39529b27f36'}
2020-01-22T20:00:07.000Z	1220073679696158721	Dating apps make people feel like garbage. Go out into the world and tell a person in the flesh that you think they’re beautiful, with no other agenda. You’ll be amazed what stroking someone else’s ego will do for your own. And you might get laid! 🤷‍♀️👍😈	{'place_id': '011add077f4d2da3'}
2020-01-22T19:13:28.000Z	1220061939906367489	 Q0. Not easy!!! Go out to restaurants, museums, go exploring.  	{'place_id': '00c39537733fa112'}
2020-01-22T18:59:16.000Z	1220058364073402369	If I dubb tryna go out why keep asking	{'place_id': '01a9a39529b27f36'}
2020-01-22T18:29:22.000Z	1220050840800632835	please go out with me, please. but disclaimer that I don’t really have little white stars on my face :/ 	{'place_id': '00c55f041e27dc51'}
2020-01-22T18:17:30.000Z	1220047853109813249	The following day I’m relaxing at home watching sports center strolling the timeline when I come across this tweet saying....’niggas think when I go out to eat with them it’s because I like them. No a bitch just be hungry sometimes 😂😂’	{'place_id': '00c55f041e27dc51'}
2020-01-22T18:17:21.000Z	1220047815545626624	About 0 months go by and the dust had seem to settle and it was time to do my due diligence and hit her with some fire in the DM one thing lead to another and I got the date I’ve wanted for a while and we decided to go out that weekend 	{'place_id': '00c55f041e27dc51'}
2020-01-22T18:12:41.000Z	1220046641421602822	If you’re the type of person that can tell when a person is nervous and you deliberately go out of your way to make them feel worse, you are the scum of the earth.	{'place_id': 'b0ea04d294343598'}
2020-01-22T17:30:01.000Z	1220035903286136832	Ups & USPS need to hurry up  & bring my shit before I go to work😩	{'place_id': '858cec499f8adba6'}
2020-01-22T17:07:23.000Z	1220030206997618688	 How Will I Feel is a phenomenal song. Songs are not made like that anymore. Lyrics and actual instruments will never go out of style bravo!!! 	{'place_id': '01a9a39529b27f36'}
2020-01-22T17:00:21.000Z	1220028437202722817	 LMFAO i told myself im over going out of my way... this isnt out of my way... might try nd snag a single day if i could	{'place_id': '00c39537733fa112'}
2020-01-22T16:38:57.000Z	1220023054786617347	I spend so much extra money on seamless because I’m too lazy to go out and get food myself.                      Food total: $0.0 // Tax, Delivery Fee, Service Fee, Driver tip: $0.0... 	{'place_id': '00c39537733fa112'}
2020-01-22T16:36:41.000Z	1220022481521643520	Breaks over back to school 😩😎	{'place_id': '07d9c935c8880001'}
2020-01-22T16:23:51.000Z	1220019253765713920	 What kills me is people assuming I'm lazy, or scamming because I don't LOOK bad. I gild my lily to cheer MYSELF up, especially on days that my pain is severe. I'm not going out looking busted to satisfy anybody's judgement of how they think I should look. F 'em!	{'place_id': '01a9a39529b27f36'}
2020-01-22T16:00:40.000Z	1220013417957863424	Teaching gotta be the lowest paying job that requires a degree. I’m goin back to school for something idk what tho	{'place_id': '926fea31818e07d2'}
2020-01-22T15:58:22.000Z	1220012840104407040	Hold on one last thing they got these suicidal kids flying across the country to go to school somewhere they never been to stay there for 0 years. I’m bout to open a college lol.	{'place_id': '011add077f4d2da3'}
2020-01-22T15:52:10.000Z	1220011278405644288	I wish somebody could go to school & work for me😂	{'place_id': '858cec499f8adba6'}
2020-01-22T15:26:52.000Z	1220004914480455680	      I agree that some players (Musa, Joe, Kurucs) walk on eggshells when Kyrie is around. Kyrie should purposely go out of his way to guarantee they are comfortable on the court. We need more John Stockton than Allen Iverson. Kyrie can't replicate Stockton, therefore it's his failure	{'place_id': '011add077f4d2da3'}
2020-01-22T14:43:41.000Z	1219994044023169024	0.  has the best children’s programming. They turn NYC buses/subways into the magic school bus for a month. Mrs. frizzle greets you on your way to school!	{'place_id': '01a9a39529b27f36'}
2020-01-22T14:27:07.000Z	1219989874603892743	Didnt feel like going to work now I’m here and the server is down ..my power	{'place_id': '00c39537733fa112'}
2020-01-22T14:15:27.000Z	1219986941212418048	Yeah Am Always On The  GO 👟😎GO!!! Y’all Give Me 0 Čomment I willl Put On Go Out Right Now!!!   kgpktllc , flkmusic ,  🦾🦾🦾 @ Harlem 	{'coordinates': {'type': 'Point', 'coordinates': [-73.94837222, 40.80903333]}, 'place_id': '01a9a39529b27f36'}
2020-01-22T14:07:26.000Z	1219984921491623936	I’m not gonna go out of my way to speak to someone who ended the last conversation. Goodnight.	{'place_id': '7ac0f9fcbc48d490'}
2020-01-22T13:58:46.000Z	1219982741774782464	It’s still not hitting me that I go back to school next week. I’m not ready for school to hurt me again	{'place_id': '01a9a39529b27f36'}
2020-01-22T13:58:23.000Z	1219982646736031745	so i guess i’ll just stay stuck here underground instead of going to work ?  	{'place_id': '011add077f4d2da3'}
2020-01-22T13:48:51.000Z	1219980245991940103	“Listen! People gotta go to work! Get off the door!” B train conductor scolds passengers at Grand Street, after it took 0 minutes to go three stops.	{'place_id': '0fc34360ab94c000'}
2020-01-22T13:41:50.000Z	1219978480919683072	me when i see jackie in the morning vs. me when she leaves to go to work :(  	{'place_id': '011add077f4d2da3'}
2020-01-22T13:36:02.000Z	1219977020769284098	Who are these people that go to work with one small purse? Where is your laptop? Your lunch? Your coffee? Your water? Your change of clothes? All of the other unnecessary items that you (I) carry around ?	{'place_id': 'e9143a85705b4d40'}
2020-01-22T13:25:43.000Z	1219974424964677632	"""Peace. My Queen And I Have Applied Each Of Ourselves To Our Collective Recovery, In Order To Get Back To Optimum Health. Through The Eyes Of The Un-Learned Though, Her Going To  Work Before Me, Doesn't Mean She's… "	{'coordinates': {'type': 'Point', 'coordinates': [-73.90574889, 40.84304295]}, 'place_id': '002e24c6736f069d'}
2020-01-22T13:03:25.000Z	1219968814445727745	i used to late to school every morning back in high school. now i’m late every morning to work	{'place_id': '94542c3c348faf28'}
2020-01-22T12:49:58.000Z	1219965427427741696	ive built such strong bonds with my nursing family that it literally feels like I’m going to school with all my friends now 😍	{'place_id': 'b74cebcb62a1a686'}
2020-01-22T12:19:33.000Z	1219957772244127744	I don’t want to go to work I want to stay home and cuddle with Lincoln 💔 Kit	{'place_id': '23a06e5cc6d83009'}
2020-01-22T11:02:30.000Z	1219938381175689216	 I just got up and I don’t feel like going to work. 😪😪	{'place_id': '011add077f4d2da3'}
2020-01-22T06:19:51.000Z	1219867250406150144	I want to go out again but ima jus keep saving staying humble and continue making beats the industry needs me	{'place_id': '011add077f4d2da3'}
2020-01-22T06:08:32.000Z	1219864403383848960	  Evidently your career didn't involve going to work. Maybe stick with that	{'place_id': '7356b662670b2c31'}
2020-01-22T05:44:44.000Z	1219858412747489282	I need to go back to school soon 🥴	{'place_id': 'b8d145028b2571ac'}
2020-01-22T03:55:48.000Z	1219830999095422976	Is it bad that I’m already thinking of ways to ditch my plans on Saturday? lol.. part of me wants to go out and the other half wants to stay in and do nothing.	{'place_id': '00c39537733fa112'}
2020-01-22T03:38:29.000Z	1219826642111156224	 Are you kidding? $0 would cover a month of Paratransit to school,  the doctor,  and a couple of visits to my mama's house for me. That would be a blessing!!	{'place_id': '01a9a39529b27f36'}
2020-01-22T03:06:51.000Z	1219818679782838272	  Meanwhile Papyrus is going out of business. I hear all the women in my family saying, “Any decently raised woman has good stationery.” Thou shalt stock up 💸 💌📬	{'place_id': '01a9a39529b27f36'}
2020-01-22T02:54:48.000Z	1219815648680980480	Side note: every time I go “out to a bar for trivia” or the like I feel like I’m a forlorn twentysomething character in a wiseacre British sitcom and there should be a kebab after followed by a possibly vomitous rainy night bus ride	{'place_id': '011add077f4d2da3'}
2020-01-22T02:49:59.000Z	1219814437550526464	  I have yet to do it. It literally takes me 0-0 minutes to jump in a pool. I used to have incessant negative thoughts, paranoia and I wouldn’t want to go out. Once I stayed in my apartment for 0 months. Gratitude, taking accountability and self love really changed my life	{'place_id': '002e24c6736f069d'}
2020-01-22T02:22:21.000Z	1219807481762848770	I wish I was actually able to tumble cause i would've went to college just to do cheer. 	{'place_id': 'b87b05856ab8dbd8'}
2020-01-22T02:04:33.000Z	1219803002686574592	Like the inner city, poverty in the suburbs is still poverty. Many here come to school for Freefrees (lunch) and an escape from home too. Are the teachers hired aware and ready to use these realities in their pedagogy?	{'place_id': '5c7686d4c90a9bb0'}
2020-01-22T02:01:40.000Z	1219802277676044289	I’m going to go out on a limb here...but I’m NOT sure this is the best approach. 	{'place_id': '01a9a39529b27f36'}
2020-01-22T02:01:07.000Z	1219802138076942337	 i work full time and going to school. the grind don’t stop. thanks though	{'place_id': '00c39537733fa112'}
2020-01-22T01:57:34.000Z	1219801246984556545	I really do not want to go to work tomorrow.	{'place_id': '00c55f041e27dc51'}
2020-01-22T01:25:10.000Z	1219793090317254657	I need someone to go out and shoot with me during blue hour ASAP 	{'place_id': '011add077f4d2da3'}
2020-01-22T01:15:20.000Z	1219790616902717445	Lesson learned: don’t use a fu-fu olive oil from CA to make matzo balls - gross grassy taste - need to go out and get old school vegetable oil...	{'place_id': '2597f2b91a5fcdb1'}
2020-01-22T01:03:51.000Z	1219787728126140418	I don’t go out to eat with people who give waiters a hard time. 	{'place_id': '812a6cfdd31b4a5f'}
2020-01-22T01:02:07.000Z	1219787289682989061	Two, it’s the former  playbook to take money from real estate developers causing massive displacement+devastation in communities of color like Sunset Park and Crown Heights - then rip gentrification. It didn’t work out for him, and it’s not going to work for you.	{'place_id': '011add077f4d2da3'}
2020-01-22T00:44:11.000Z	1219782777777917953	It's not even worth going out anymore. I'm staying in my damn blankey & I'm available for all wholesome game nights. 	{'place_id': '002e24c6736f069d'}
2020-01-22T00:43:33.000Z	1219782617454796801	I know I’m gunna have to go to college and I regret it so very much	{'place_id': '002e24c6736f069d'}
2020-01-22T00:39:54.000Z	1219781700789723136	Take em to school I love it. 	{'place_id': '00c39537733fa112'}
2020-01-22T00:07:05.000Z	1219773442125389833	  This doesn’t apply to your class. But if you come late to school with coffee, I take mine black, no sugar. 😎☕️	{'place_id': '2a9fc003f4101a1d'}
2020-01-22T00:01:06.000Z	1219771936173109250	I need a “safety net” women that will give me money to go out n cheat 😓	{'place_id': '01a9a39529b27f36'}
2020-01-23T22:46:43.000Z	1220477994126532609	Wasn’t feeling well today but tomorrow I’m going to work my check gotta look good my credit card debt coming to collect 🙄 almost done paying this shit	{'place_id': 'fa3435044b52ecc7'}
2020-01-23T22:18:00.000Z	1220470767328145410	Watching women putting make up on the train as they get ready to go out..  that's so badass...I would be in the ER with an eye injury if I did that 😳🙄🤷‍♀️🤦	{'place_id': '01a9a39529b27f36'}
2020-01-23T22:13:53.000Z	1220469731020431361	    0. If that person has already gone to college and we’re just paying off their loans then this doesn’t apply (since they’ve already gotten the education)0. I don’t really have a fundamental issue with making college a lot more affordable moving forward (just not through a tax)	{'place_id': '01a9a39529b27f36'}
2020-01-23T22:06:37.000Z	1220467899888013320	WHY DID I SIGN UP FOR AN 0AM CLASS WHEN MY TREK TO SCHOOL IS 0 MINUTES. DROP.	{'place_id': '002e24c6736f069d'}
2020-01-23T22:05:04.000Z	1220467509633134598	We hope Jackson had as much fun as we did today!!! Thanks  for bringing some much needed four legged love to school!  ❤️🐾🐶 📚 	{'place_id': '94542c3c348faf28'}
2020-01-23T21:20:46.000Z	1220456362280476676	Training my most important client... My daughter Liz!Liz is type 0 diabetic so this year my major resolution is to train her myself at least once a week before she goes to college.In addition to a strict diet… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.99483, 40.73668]}, 'place_id': '01a9a39529b27f36'}
2020-01-23T20:58:58.000Z	1220450877930115074	GHETTO. Nah my mom hates it and I used to be like she buggin’ fr fr... until I got to college and saw ppl eating on em. Then I finally understood you look fucking broke eating w/ paper plates 	{'place_id': '01a9a39529b27f36'}
2020-01-23T20:45:09.000Z	1220447399203823634	Me lookin in the mirror before i go out 	{'place_id': '011add077f4d2da3'}
2020-01-23T20:43:49.000Z	1220447065983143937	Obama risking his reputation and going out sad like Hillary Clinton???idts...... he’s not stupid 	{'place_id': '002e24c6736f069d'}
2020-01-23T20:20:18.000Z	1220441144569536512	i put the mannequin heads with the masks i made on top of my bookshelf and throughout the whole night i kept waking up and thinking someone was hanging from my ceiling so idk if this set up is going to work out lmao	{'place_id': '01a9a39529b27f36'}
2020-01-23T20:06:54.000Z	1220437771590012928	God knew what he was doing making me throw up like crazy the other night, a bitch was finna go out sad AND fat he said no my daughter, I got you watch this:	{'place_id': 'c735e25ad03113d5'}
2020-01-23T20:05:12.000Z	1220437346048528385	 Lmao! I know! That’s what I’m saying ! I wanna go out with my baby but I can’t smoke around him so I’m heartbroken	{'place_id': '01a9a39529b27f36'}
2020-01-23T19:31:50.000Z	1220428950222123008	Ksubis going out like Trues you hate to see it.	{'place_id': 'b87b05856ab8dbd8'}
2020-01-23T19:22:15.000Z	1220426535095631874	Working and going to school full time should lowkey be illegal	{'place_id': 'fa3435044b52ecc7'}
2020-01-23T19:22:00.000Z	1220426475838541829	A Little Throwback: Alexander’s Going out of Business Sale...         	{'place_id': '002e24c6736f069d'}
2020-01-23T19:15:31.000Z	1220424843008663552	Word ya been going out for like 0yrs bro lemme get parts now 	{'place_id': 'b74cebcb62a1a686'}
2020-01-23T19:09:57.000Z	1220423440148180993	 Mnuchin  is one hundred percent right about the Swedish climat activist who doesn’t have the proper education to give advice . Should go back to school.    #	{'place_id': 'b2739f396d871412'}
2020-01-23T19:08:45.000Z	1220423139508834304	 Drama majors going out first 🤚💯	{'place_id': '011add077f4d2da3'}
2020-01-23T19:05:43.000Z	1220422377571602434	I wanna go out to eat, think i want chik fil a	{'place_id': '00c39537733fa112'}
2020-01-23T19:03:52.000Z	1220421912200957953	Big Facts: I never fancied reading and writing as a youth. NYC  aint help either. Just un-dressing the elephant in the - book. We didn’t go to fashion school but we went to school for fashion. Get… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.9912, 40.69179]}, 'place_id': '011add077f4d2da3'}
2020-01-23T19:03:14.000Z	1220421750598578176	Guess I’ll go to work now...	{'place_id': '01a9a39529b27f36'}
2020-01-23T18:57:57.000Z	1220420420635152390	welcome to college where you go to clsss in your pjs	{'place_id': 'b046074b1030a44d'}
2020-01-23T18:43:49.000Z	1220416865924788225	 Well I’m going out for BBQ tonight, so ...	{'place_id': '01a9a39529b27f36'}
2020-01-23T18:38:03.000Z	1220415414209011714	" speaking at the  CSI Conference. ""No matter where our students come from, they come to school with trama""     "	{'place_id': '07d9dc0e2dc84000'}
2020-01-23T18:32:13.000Z	1220413944558387200	If I care about you I will show you in many ways not just with material things but the love I pour into you, the advice I offer you, the time I give you. Going out of my way to do little things for you. Supporting you..	{'place_id': '011add077f4d2da3'}
2020-01-23T18:23:44.000Z	1220411809678733315	I got my GED went to college studied communications and psychology, ain’t graduate but I know what I know fym	{'place_id': '002e24c6736f069d'}
2020-01-23T18:07:12.000Z	1220407649449250817	 Showed up to school to read to the kids about the culture 🇮🇳 and didn’t get sent to the principal’s office...📸: styledbynameeta..       @ Long… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.93158359, 40.75723153]}, 'place_id': '00c39537733fa112'}
2020-01-23T18:06:50.000Z	1220407557606592512	So disappointed with  I paid $0.0 for internet to work on a time sensitive project and the internet kept going out and have 0 mins of solid strength. I can’t help to feel like I gave away money.	{'place_id': 'b74cebcb62a1a686'}
2020-01-23T17:54:56.000Z	1220404563016142851	Since voice attracts people in American movies,someone is singing in the building and the voice is 🔥 I’ll just get to the door, look at him like didirin for 0mins then when he notices and our eyes meet, I’ll run back to my office boya he wee run after me	{'place_id': '00c39537733fa112'}
2020-01-23T17:46:56.000Z	1220402547829157888	FactsProbably the easiest thing to go out and try today 	{'place_id': '01a9a39529b27f36'}
2020-01-23T17:25:43.000Z	1220397209897918464	People who go out of their way to do things to hurt me, only end up hurting themselves in the end. God plays favorites when it comes to me.	{'place_id': '002e24c6736f069d'}
2020-01-23T17:10:23.000Z	1220393352513904641	Today really is a wanna sit and cry day... Oh well time to go to work until 0pm 🙃🙃🙃	{'place_id': '00c39537733fa112'}
2020-01-23T17:08:36.000Z	1220392904612548609	I might have to go out. 	{'place_id': '011add077f4d2da3'}
2020-01-23T17:06:48.000Z	1220392451615219714	 Nice way to go out	{'place_id': '01a9a39529b27f36'}
2020-01-23T16:49:14.000Z	1220388027584929797	My nephew went to school today... I’m sad 😔	{'place_id': 'bf83670d90b7f0bc'}
2020-01-23T16:23:53.000Z	1220381648421711873	"When asked why Zhang Xin, SOHO China, has become a leader in Chinese philanthropy, she had a beautuful response, ""As a factory girl, when I went to school I had no money. I went to school school on someone else's philanthropy.""     "	{'place_id': '01a9a39529b27f36'}
2020-01-23T16:13:50.000Z	1220379121156530176	Seeing the invites go out! Excited to work with the QB’s this May at the showcase. Please bring your A-game as I will be running drills that will give the coaches in attendance the best possible look at your ability to play this position. Hope you’re working! 👀 	{'place_id': 'b46619b2722d9703'}
2020-01-23T15:48:55.000Z	1220372848566579201	Listen... I realize I’m taller than half the population every time I go out. Birds eye view of the whole scene 😭😂 	{'place_id': '01a9a39529b27f36'}
2020-01-23T15:41:59.000Z	1220371106890166273	Bring this next time my coal go out on my hookah. 	{'place_id': '01a9a39529b27f36'}
2020-01-23T15:38:45.000Z	1220370291802681348	 I think once the final callbacks have concluded, getting a notification when initial offers are going out would help. I think the hardest part for actors is just not knowing until the cast announcement goes out which can be weeks/months.	{'place_id': '00c39537733fa112'}
2020-01-23T15:22:47.000Z	1220366273877549061	THURSDAY (TODAY) is LAST day for the   Self-defense refresher. Inform your officers please. Remind them that they will not be able to go out if they disregard this      	{'place_id': '07d9cce834c83002'}
2020-01-23T15:05:22.000Z	1220361889823252480	Going out before a early morning always seems like a great idea until the next day	{'place_id': '01a9a39529b27f36'}
2020-01-23T14:27:59.000Z	1220352484318875649	So I guess I have to go out and buy some peanuts now??	{'place_id': '002e24c6736f069d'}
2020-01-23T13:44:26.000Z	1220341520550768642	The way these grown men representing our country bully a teenage girl is really repulsive 	{'place_id': '011add077f4d2da3'}
2020-01-23T13:37:07.000Z	1220339679381336064	Parents need to stop sending their sick ass kids to school.	{'place_id': '01a9a39529b27f36'}
2020-01-23T13:33:30.000Z	1220338771616575488	.  every morning is a dustfilled nightmare walking kids to school. This is 0st and 0nd, Tudor city, very residential. Only way out is past this terrible truck that spews out enormous amounts of dust/pathogens.  And across the street is massive construction. Help! 	{'place_id': '0ce1000eedfdc6b9'}
2020-01-23T13:25:47.000Z	1220336828911362048	Good morning! Kid finally back to school after her sicky days, got leftover pizza, found me some oil, n in about 0 weeks I go up 0 number. Things r looking good 😁	{'place_id': '00c39537733fa112'}
2020-01-23T13:08:01.000Z	1220332357452017664	 Its like every child for themselves. They are so adorable. Soon they will be going to school. Time does fly. Be safe on the job.🙂💪👍🙏	{'place_id': '00c39537733fa112'}
2020-01-23T13:00:39.000Z	1220330505956184064	You can be what you can see and you see what you can be and go to work with action you’ll receive the abundance that you are originally created to ...BE !Do! Have ! Be ! Have ! Do !Ask ! Believe ! Receive!… 	{'coordinates': {'type': 'Point', 'coordinates': [-73.99103165, 40.75668492]}, 'place_id': '01a9a39529b27f36'}
2020-01-23T12:39:11.000Z	1220325102551818240	   Y’all mfs don’t go to school?	{'place_id': '3d3c56338b6a3b4a'}
2020-01-23T12:03:56.000Z	1220316230239825927	 I'm going to Toronto.. welcome to come lmao. I'm going out there to do some solo exploration and find my bae. 😂😂	{'place_id': '002e24c6736f069d'}
2020-01-23T12:00:17.000Z	1220315313981526016	Going to work screaming...“I’m leaving heaaaaaaveeeeeeen....”	{'place_id': 'b046074b1030a44d'}
2020-01-23T11:59:50.000Z	1220315200877842433	On January 0, 0, Immaculate Conception High School, held its Back to School Night event. The Administrative Team provided updates on the Strategic Plan and shared information about the new initiatives that have… 	{'coordinates': {'type': 'Point', 'coordinates': [-74.09315043, 40.86671083]}, 'place_id': 'cd13d7c07e4e78e7'}
2020-01-23T11:36:35.000Z	1220309349060501506	I love waking up early enough that I have time to sit and sigh hard about having to go to work	{'place_id': '00c39537733fa112'}
2020-01-23T11:33:23.000Z	1220308544366481408	 Honestly... just gotta leave the house, go to work and avoid Schiffonnell. Pacing, cadence and getting people to listen is not easy on live TV, but making it this painful for audiences may be art.*Schumer opened with excellent execution and energy, by comparison.* 	{'place_id': '01a9a39529b27f36'}
2020-01-23T10:55:50.000Z	1220299094041792512	 I just woke up. I have to go to work. I cant go to bed lol.	{'place_id': '00c39537733fa112'}
2020-01-23T10:21:55.000Z	1220290558247297024	I should go out this weekend and celebrate my first achievement for the year.... then again nuff more to come😩😊😊 I’m so excited 🙏🏾	{'place_id': '011add077f4d2da3'}
2020-01-23T07:50:27.000Z	1220252441339449345	"Going out alone is both depressing and liberating. Like, ""Yes! I did drag my sad single depressed ass out to the club tonight and yes I am having fun"""	{'place_id': '01a9a39529b27f36'}
2020-01-23T07:40:12.000Z	1220249859715977218	The fact that i need to wake up before 0 am pisses me off lol it’s bc I’ve gotten so used to wake up at 0 pm 😭😭😭 and going to work at 0 smhh	{'place_id': '01a9a39529b27f36'}
2020-01-23T07:33:02.000Z	1220248056890871809	Before The Lights Go Out, Tell Me Who The Fu** We Gonna Be. Names On A Jersey, A Star On The Ground?-VzMe0'	{'place_id': '00c39537733fa112'}
2020-01-23T07:29:10.000Z	1220247083141287936	They Say Work Is Hell, Bet If You Went To Hell, You'd Want To Go To Work. 💯🛐-VzMe0'	{'place_id': '00c39537733fa112'}
2020-01-23T06:19:11.000Z	1220229471086751744	  Or maybe because I actually go to work and don’t spend my days on Twitter.  But that’s just me.   Bernie Bro zombie swarm in 0 . . . 0 . . .  0	{'place_id': '01a9a39529b27f36'}
2020-01-23T05:12:07.000Z	1220212593064923137	this going to work thing getting real old.	{'place_id': '011add077f4d2da3'}
2020-01-23T05:10:54.000Z	1220212286708645888	    and you taking the time to form a constructive argument for likes isn’t going to work either lmfao it’s easier to post gifs	{'place_id': '00c39537733fa112'}
2020-01-23T05:10:45.000Z	1220212250461470720	 I’m gonna go out and buy some some.	{'place_id': '011add077f4d2da3'}
2020-01-23T05:08:43.000Z	1220211736277585921	my bank account telling me go to work cause i need the money. 	{'place_id': '011add077f4d2da3'}
2020-01-23T04:43:04.000Z	1220205283181498369	If it wasn’t for Derek Jeter, I probably wouldn’t have the insane passion for baseball (along with football and hockey) that has led me to my dream job. I can honestly say that I go to work happy almost every day. It’s something that I’ll be forever grateful for. *End sappy post*	{'place_id': '684ceb6509d97b6c'}
2020-01-23T04:14:31.000Z	1220198098145812480	 Those Super Bowls gave him instant street cred no matter how the rest of his career was. Glad to see him go out on his own terms. Definitely Canton bound some day.	{'place_id': '011add077f4d2da3'}
