339794231	2021-12-06T23:50:26.000Z	1468004939502800903	 is seriously going out with a bang, wow.  	{'place_id': '7d2aec133a24b554'}
1151712130514616320	2021-12-10T15:05:37.000Z	1469322418183233540	Congrats  , you guys deserve it. I've been listening and watching since the box truck days. y'all are the best. still remember how hot it was in there tho. Y'all had to take breaks and go out for fresh air 😂  	{'place_id': '3b77caf94bfc81fe'}
50482139	2021-12-10T12:44:16.000Z	1469286845972312072	" That happened to me once the day after going out and i was like wtf how many did i add.  I accepted a couple and they all asked me ""who's this"" and i was like bitch you added me and they said no you added me so i just deleted them 🤷🏾‍♂️"	{'place_id': 'ef74afb7ccba74d6'}
303462753	2021-12-10T11:08:42.000Z	1469262793157218305	 Go to school sis 😂	{'place_id': '3b77caf94bfc81fe'}
930570510	2021-12-10T09:51:44.000Z	1469243426587643909	true story: I at one point in my life had multiple imaginary animal friends that traveled with me to school and home and it wasn't until years later I put together that I had really conjured them up to to be my guardians because of...reasons 	{'place_id': '3b77caf94bfc81fe'}
13444192	2021-12-10T06:39:52.000Z	1469195138584825856	  Gladly whipped it out (my digital vax card) at LA Live then at Staples. Also if you go out and redo the  Vax Card thing at  it should show your booster. 	{'place_id': '3b77caf94bfc81fe'}
118572733	2021-12-10T05:47:27.000Z	1469181951500193792	0 you were great !! & thank goodness I’m going out w/ a blast 💥	{'place_id': '3b77caf94bfc81fe'}
350745799	2021-12-10T05:16:18.000Z	1469174110538256384	Wasn’t gonna go out tonight but the homies are in LA For rolling loud… the streets need me	{'place_id': '3b77caf94bfc81fe'}
219569305	2021-12-10T05:05:18.000Z	1469171341408419840	Sometimes I wish I was a house wife, and my husband is so old he’s one accidental fall away from finally dying…just some thoughts when I don’t want to go to work.	{'place_id': 'd563cf7307e4ba95'}
823044177487200256	2021-12-10T04:53:19.000Z	1469168328031694849	0 nursing majors going out when we should be studying our asses off for this exam	{'place_id': '0c2e6999105f8070'}
1033193025487351808	2021-12-10T04:22:55.000Z	1469160676874547203	 Reminds me of when me and my mom were living with her best friend and her ex breaks in and k!lls my moms bestfriend and her boyfriend and missed me by a lil. And yet I still had to go to school the next day 🙃	{'place_id': '3b77caf94bfc81fe'}
1393542794	2021-12-10T04:17:29.000Z	1469159307698597891	Damn that’s too young. My condolences go out to his family and friends. RIP DT 🙏🏽 	{'place_id': '3b77caf94bfc81fe'}
312166862	2021-12-10T04:05:54.000Z	1469156394486034433	 I’m ambivalent. Sushi rolls use it. It’s good on a chicken sandwich, tuna sandwiches etc… but I’m not going out of my way to slather it on anything.	{'place_id': 'b0b79caecef59fb5'}
2820258280	2021-12-10T03:53:02.000Z	1469153155204063241	All cigarettes go out eventually	{'place_id': '3b77caf94bfc81fe'}
31477949	2021-12-10T03:27:06.000Z	1469146628778913798	* Applies to go back to school in the spring * 	{'place_id': 'd71cc91cb651e322'}
13444192	2021-12-10T03:03:40.000Z	1469140733403668481	  (I’m post heavy when I go out, sooory) @  Arena 	{'place_id': '3b77caf94bfc81fe', 'coordinates': {'type': 'Point', 'coordinates': [-118.26711, 34.04312]}}
777197073347346432	2021-12-10T02:25:43.000Z	1469131181190905860	Idk whats going on but hear me out: my bruja powers, no funny shit, people are dying, theres shootings going on, random deaths happening, this week be careful when you go out. tell ur loved ones u love them when u see them. appreciate life right now.	{'place_id': '3b77caf94bfc81fe'}
15554091	2021-12-10T02:10:53.000Z	1469127450772729856	Just opinion from a well educated man with very expensive certifications . Vaccines are never going to work. even if you somehow they get it pass the supreme. Its a very ODD feeling when voters are more concerned with abortion rights. Then a virus that is deadly and their no cure	{'place_id': '2feb76248fd9c581'}
471525064	2021-12-10T02:06:02.000Z	1469126227235536896	PSA: You can buy Covid rapid tests (that detect Omnicron, too) from drugstores for about $0. If you’re going out ever, please pick some up!! 	{'place_id': '3b77caf94bfc81fe'}
1380798229260857356	2021-12-10T01:48:53.000Z	1469121914232737794	Texco News:  Nick Cannon announces death of 0-month-old son Zen has died after being diagnosed with a brain tumour.   thoughts and prayers go out to him and his family🙏🕊 (FULL STORY ON IG➡️) 	{'place_id': '67571a7baaa5906b'}
1108213544674385920	2021-12-10T01:47:48.000Z	1469121638058774530	Texco News:   Nick Cannon announces death of 0-month-old son Zen has died after being diagnosed with a brain tumour.   thoughts and prayers go out to him and his family🙏🕊 (FULL STORY➡️) 	{'place_id': '3b77caf94bfc81fe'}
1462694316875272197	2021-12-10T01:21:01.000Z	1469114897988423680	I follow some people because their life is just stupid to me and they just do stupid shit honestly. Amusement. Baby momma drama, always going out being drunk, asking stupid shit, ranting about their own toxicity 😂	{'place_id': 'f227fd9a20f20e9d'}
2151161472	2021-12-10T00:28:45.000Z	1469101746580385798	Shoutout some real dudes I've happen to go to school with .chester&dorsey. Ayeee  I'm still waiting for my brown leather jacket mane........you never gave it back lmaoo 	{'place_id': '67571a7baaa5906b'}
341357105	2021-12-11T23:49:18.000Z	1469816591990738945	Gotta go out with the commerce/BG squad more often 😛😛      	{'place_id': '1193edda55d6fa3d'}
518818033	2021-12-11T23:31:50.000Z	1469812198704701442	 Somewhere a silly person is writing that the pix reminds them of their walk to school only much much further, covered in snow and uphill both ways.  Their memory is incorrect Your pix is beautiful and powerful.	{'place_id': 'cf2d9d01f16e9bd4'}
707657677	2021-12-11T21:26:55.000Z	1469780761158901760	  It's a baby and I don't think it would have the memory capacity at it's age! So no need to panic. It's when they go to school that the really cruel comments start. As a victim of chronic teasing (deaf) went to private school and they were cruel!!! 😥😭😱	{'place_id': '4a20e8489313dc3c'}
33569742	2021-12-11T21:13:43.000Z	1469777439773454337	The New York coach is crazy, there is no way in this God's given Earth that Moralez is going to go out because of a hurt foot.... He's going to have to take him out of there on a stretcher... 	{'place_id': 'f2f180b090191151'}
2254492634	2021-12-11T20:53:03.000Z	1469772238232580100	I saw the um, “wienermobile” the other day while going to work I am dead☠️ 	{'place_id': '0c2e6999105f8070'}
2870137191	2021-12-11T20:19:54.000Z	1469763898202984448	  Stromberg is returning to school	{'place_id': '01c060cf466c6ce3'}
4000288334	2021-12-11T20:18:56.000Z	1469763654782373888	i seriously go out everyday, nina fresa things	{'place_id': '3b77caf94bfc81fe'}
1060514999368585216	2021-12-11T18:44:32.000Z	1469739895971147776	bitch just said my shit was 0 inches…….. take her back to school 	{'place_id': '56909099a1d44057'}
3070624833	2021-12-11T18:43:58.000Z	1469739754363056128	i need another excuse to get dressed up and go out 	{'place_id': '07d9e52155086002'}
519103115	2021-12-11T18:24:03.000Z	1469734743633629189	The kiddo fly is from 🇬🇧 today! Super excited! We will be able yo train together, watch shows, got to a lakers game(surprise) and just vibe! Not easy having him go to school abroad but its his education and his chance to become a professional Futbol player  	{'place_id': '3b77caf94bfc81fe'}
20660296	2021-12-11T18:11:35.000Z	1469731603945426946	Ok I’m going to work one more job we will do this again once I get another 0-star review on  imagine me dominating today so I share my wealth with everyone 🇷🇴🎥💗🇺🇸	{'place_id': '3b77caf94bfc81fe'}
2830598000	2021-12-11T17:18:22.000Z	1469718214217064455	I get choked up ready to talk about this muthafucka…this can’t be how I go out! 😂 I deserve better 🙃	{'place_id': '00b028b400039d97'}
178911957	2021-12-11T16:53:59.000Z	1469712077270892553	Lol my friends need to stop IM NOT GOING OUT STOOOOOP 😫	{'place_id': '47dbb2e661aa176c'}
1346157741627215872	2021-12-11T16:36:37.000Z	1469707707569491968	After last night Im going out and buying tags for my kitty’s collar today. Not playing around anymore, he is my only family!	{'place_id': '01c060cf466c6ce3'}
226262800	2021-12-11T16:10:59.000Z	1469701252745285634	 It’s funny this was my first weekend after moving to college and I was so mad down 0 scores I left to get a sando, came back and caught Mike’s last TD and this play to win.When I learned 	{'place_id': '3134f9d2892d2685'}
2833638804	2021-12-11T15:49:41.000Z	1469695894521933830	Going to work after a WORK holiday party should be illegal. 	{'place_id': 'fcd177d5a0545c9c'}
22739764	2021-12-11T15:27:45.000Z	1469690376533393410	Wish we didn’t need these shots! But if we leave a reservoir of 0-0 million kids and teens unvaccinated… they’re going back to school Fall ‘0 in masks. The risk/benefit analysis easily falls in favor of vaccinating.     	{'place_id': '59612bd882018c51'}
1265950379092529158	2021-12-11T15:02:26.000Z	1469684005423357956	How I wanna go out 	{'place_id': '3134f9d2892d2685'}
411812602	2021-12-11T14:53:27.000Z	1469681740897607689	Do I go to work today or nah?	{'place_id': 'c1e1a49e92ce1ba0'}
723515274	2021-12-11T10:58:02.000Z	1469622498618576903	                                               That he is!😂😂 We do have to be vigilant. It is sad that we have to be so careful today that people would go out of their way to get other people’s accounts suspended. Something is terribly wrong in our society. Trump & Co. did more damage to America than I can even comprehend😓	{'place_id': '3b77caf94bfc81fe'}
2640530788	2021-12-11T10:06:49.000Z	1469609607131635712	"women never ask u out straight up. they be like ""we should go out some time."" 😐 girl fuck u. take me on a date or gtf"	{'place_id': 'bcd6f5a92e969e33'}
393434027	2021-12-11T09:16:23.000Z	1469596918493839360	 Let’s go out dawg	{'place_id': '0fc6568d145d84ac'}
1415548634376986627	2021-12-11T07:54:57.000Z	1469576423220269058	WHY IS MY SIZE ALWAYS THE FIRST TO GO OUT OF STOCK😭 I’ve been wanting a pink one for so longggg noooooooo 	{'place_id': '3b77caf94bfc81fe'}
3116343740	2021-12-11T07:15:34.000Z	1469566513711443971	I picked sleep over going out to party 😩😭	{'place_id': '3134f9d2892d2685'}
552542801	2021-12-11T06:32:38.000Z	1469555707863347203	 You can do this my princess! I'm going back to school and finish getting my degree.  You are super smart and can anything!	{'place_id': '341aa0cdb944022e'}
1654429820	2021-12-11T05:28:24.000Z	1469539542856192000	if you’re in la and going out tn hmu	{'place_id': '3b77caf94bfc81fe'}
2345952465	2021-12-11T04:46:53.000Z	1469529095880908801	Go out or stay in 🤔😭	{'place_id': '3b77caf94bfc81fe'}
19008298	2021-12-11T04:45:35.000Z	1469528770016993280	 recruit coming in…  Defensive End going out. The University of Oregon & Eugene allows these players to maximize their talents while becoming men in the process! Congrats  	{'place_id': '3b77caf94bfc81fe'}
870878754	2021-12-11T04:13:48.000Z	1469520770967564291	To go out tonight or not is the real question	{'place_id': '3b77caf94bfc81fe'}
26154684	2021-12-11T04:13:10.000Z	1469520611789598721	A lot of students didn’t take it so they don’t want to lose money on the students not going to school. IF they really cared about the vaccine they wouldn’t have backed down🤷🏻‍♂️ 	{'place_id': '3134f9d2892d2685'}
880944110110089218	2021-12-11T04:09:18.000Z	1469519637368897536	it’s so cold i don’t even want to go out anymore! bye!	{'place_id': '3b77caf94bfc81fe'}
958427918	2021-12-11T04:05:04.000Z	1469518573605380104	"0  football banquet is a wrap. Thanks to all the coaches for there time and effort. We came up short this season.  is going to work. Our mind set.""I'm Gonna Make Them Pay "	{'coordinates': {'type': 'Point', 'coordinates': [-118.2445, 34.0564]}, 'place_id': '3b77caf94bfc81fe'}
205141839	2021-12-11T03:25:42.000Z	1469508665434533893	Damn I slept all day and haven't made plans to go out 😭	{'place_id': '4d1d90faa5484b1c'}
853872648	2021-12-11T03:00:20.000Z	1469502279594115072	I WAS gonna go out but now I’m snuggled up in bed like a grandma haha	{'place_id': '3b77caf94bfc81fe'}
1125955549172862977	2021-12-11T02:03:03.000Z	1469487864362639360	U ever see a stranger that looks real familiar but they still a stranger until days later you realized you went to school with them 🤣🤣🤣  ,  ,  , 	{'place_id': '3b77caf94bfc81fe'}
705920763996434432	2021-12-11T01:26:00.000Z	1469478541007855617	Guys, I was a master before I went to college. Uneducated people may make a bigger deal then what this means.	{'place_id': '56909099a1d44057'}
3219070728	2021-12-11T01:00:48.000Z	1469472199790645252	I want to get cute and go out! I haven’t had that in a while 😫	{'place_id': '3b77caf94bfc81fe'}
1240426069582180352	2021-12-11T00:18:16.000Z	1469461496732131328	  I’ll go out on a limb and guess you’ve never had spam fried rice.	{'place_id': '3b77caf94bfc81fe'}
1924674840	2021-12-12T23:01:11.000Z	1470166871819259904	 I know all that. But I’m allowed to ponder “what if he didn’t go back to school in 0?”	{'place_id': '97e336e1e3ed9e1e'}
14424667	2021-12-12T22:56:05.000Z	1470165589830168577	 SWEET! My plan was to do three months with Babbel then start going out more often to immerse. I love LA!! Thank you!	{'place_id': '3b77caf94bfc81fe'}
1051690978686337024	2021-12-12T22:18:01.000Z	1470156007544274945	When I tell non sex workers I’m going to work and they respond with “Oh yOuRE gOiNg to WOoRK ” wink wink I want to slap the Sh*t out of them	{'place_id': '1927193c57f35d51'}
1386263965	2021-12-12T22:01:09.000Z	1470151764770897921	last night I didn’t wanna go out tonight but I did and now I do wanna go out tonight	{'place_id': 'cce33d74ceffbe08'}
485425851	2021-12-12T21:30:44.000Z	1470144110002520064	Go to work with me . 🦂 	{'place_id': '3b77caf94bfc81fe'}
51360498	2021-12-12T21:22:09.000Z	1470141948224700424	Dad was a mechanic for a road construction and paving company.  Mom was a housewife til we started going to college, then got a job selling tires and batteries at a Sears Auto Center. 	{'place_id': '3b77caf94bfc81fe'}
893786634818211841	2021-12-12T21:20:35.000Z	1470141557714010113	fighting the urge to dress like a whore and go out instead of study for finals 😹😵‍💫	{'place_id': '07dccb89e8f25a8f'}
104602193	2021-12-12T21:14:01.000Z	1470139905250455554	When I was going to college, working my way thru college as a cook. My Mexican brothers would play Vincente Fernandez. I will always remember  the passion in his voice. 🙏🏿🌌 🇲🇽 	{'place_id': '3b77caf94bfc81fe'}
729707534915756032	2021-12-12T21:08:25.000Z	1470138494500556803	Should never went to college! 	{'place_id': '3b77caf94bfc81fe'}
2681048384	2021-12-12T16:47:43.000Z	1470072887503507463	 Why not go to college and take an economics class and learn how the Fed has been infusing liquidity which has nothing to do with Biden. This only works on people who balk at the notion of being well informed.	{'place_id': '10de09f288b1665c'}
20660296	2021-12-12T16:41:13.000Z	1470071249594290179	Ugh 😣 I’m going to work jobs for fiat when I’m making more money farming than  	{'place_id': '3b77caf94bfc81fe'}
1067163442501509127	2021-12-12T16:32:27.000Z	1470069045395292160	How do people become content with just going to work paying bills and with no hobbies or nothin	{'place_id': '1af9758d2214d4b8'}
1285359946935275520	2021-12-12T15:42:21.000Z	1470056436214362113	Lastnight was cute. (It really wasn’t but I guess that’s just the thing the say after a night of going out 😐)	{'place_id': '3b77caf94bfc81fe'}
1453918346315845632	2021-12-12T14:54:54.000Z	1470044495362199554	This Mullah with his Future wife. Claiming her  why do women need to go to school? Why open up their minds ?Taliban Style of Life is Forced on innocent Women. Is having a Boy Toy a Sin? End Taliban Now!   	{'place_id': '3b77caf94bfc81fe'}
323400541	2021-12-12T14:32:42.000Z	1470038906728947717	I’m so tired of going out without my og friends tired of y’all not visiting smh both Traversa’s especially	{'place_id': '3b77caf94bfc81fe'}
46818898	2021-12-12T08:05:34.000Z	1469941483234947072	 E.g. Zoomers realize that they actually really don't enjoy Tinder, or going out, and were never coached through approaching a woman at a bar anywah, and so they just...don't.	{'place_id': '3b77caf94bfc81fe'}
778228692753330181	2021-12-12T05:57:24.000Z	1469909229435715588	my little brother told me that we should hang out more and go out and it broke my heart because I’m never home and I didn’t know he misses me🥺	{'place_id': '59105f0e84773bdd'}
1393542794	2021-12-12T05:50:06.000Z	1469907392401854470	 Your Tio sounded like a real one. Much love bro my condolences go out to you and your family. 🙏🏽💙	{'place_id': '3b77caf94bfc81fe'}
44268419	2021-12-12T05:31:24.000Z	1469902685138677763	 I’m going out but ngl I miss my kitties big time 😭 	{'place_id': 'a75bc1fb166cd594'}
190104483	2021-12-12T04:52:24.000Z	1469892869737517060	Should I go out tonight? Yes or no	{'place_id': '0c2e6999105f8070'}
206023888	2021-12-12T04:44:26.000Z	1469890865514500101	When did cowbell go out of vogue? Cowbells are great.	{'place_id': '3b77caf94bfc81fe'}
3270345132	2021-12-12T03:22:27.000Z	1469870236421668865	broke my elbow and my friend is making me go out in my sling for free pity drinks 	{'place_id': 'd35feae19d268b09'}
86794187	2021-12-12T02:01:34.000Z	1469849881665699840	All my friends and Christopher Robin are off tonight so work is kinda lame today 😔 smhhh this should’ve been Richardo and I could be going out with my friends 😑🤣🤣🤣	{'place_id': '0c2e6999105f8070'}
1464489659766038530	2021-12-12T01:49:01.000Z	1469846720754323457	 I wish you was my girlfriend and you know what I do want to go out with you to know you but you are gorgeous and I wish I see you but I live in Gardena California	{'place_id': 'f227fd9a20f20e9d'}
1271963900993572865	2021-12-12T00:59:20.000Z	1469834217404071937	laaaaaa anyone wanna go out and shoot rn?	{'place_id': '38ea9782c8d83a4b'}
28423951	2021-12-12T00:37:08.000Z	1469828633007058946	Going out with Nicky  	{'place_id': '3b77caf94bfc81fe'}
368776215	2021-12-12T00:06:10.000Z	1469820838119555073	I’m about ready to join  and leave backwoods for good they are really out here robbing us blind I can’t go out no more	{'place_id': '3b77caf94bfc81fe'}
243900233	2021-12-09T03:51:01.000Z	1468790262231011329	0 Pedestrians Hit by Train in Hollywood.  Anyone have more info?	{'place_id': '741e9df4d2522275'}
