44683313	2021-08-30T23:56:10.000Z	1432492371275513859	Going out to dinner with my mother  and my aunts  &  they all help raise me ❤   @ Pies'n'Thighs 	{'coordinates': {'type': 'Point', 'coordinates': [-73.96135, 40.71122]}, 'place_id': '011add077f4d2da3'}
471342128	2021-09-01T14:11:26.000Z	1433069995265769484	 I have the 0mg concerta and then I also have a 0mg methylphenidate booster but the booster makes me feel so unhinged that I mostly take it like to go out lmao	{'place_id': '011add077f4d2da3'}
599195668	2021-09-01T13:43:27.000Z	1433062953536954377	I went to school for audio engineering, 0 years ago I process music very different then most ppl …. Over the years I trained my ear on what’s good and off about mixing…Outside of finding and seeing talent … I hear it and see shit very differently…	{'place_id': '27485069891a7938'}
1228625917	2021-09-01T12:57:21.000Z	1433051350066139140	Welcome Back to school   It’s going to be a great year!! 💛🖤🐏💛🖤 @ West Hempstead Middle School 	{'coordinates': {'type': 'Point', 'coordinates': [-73.66103073, 40.69452507]}, 'place_id': '1ed0698bc8262763'}
993245107821465600	2021-09-01T12:43:50.000Z	1433047950696067080	 Yup. Last 0-0 months of data have been wacky with all kinds of issues, plus Delta variant in the summer. Back to school / (slow) back to office will be the real test of the recovery plus inflation and other metrics	{'place_id': '01a9a39529b27f36'}
188169886	2021-09-01T12:11:08.000Z	1433039721479954435	Takin videos of yourself in the club doin’ nothin’ is called enjoyin’ yourself in the club in 0. Lol, this is why I don’t even go out as much anymore. 	{'place_id': '002e24c6736f069d'}
1668213590	2021-09-01T11:02:15.000Z	1433022385918201859	Day  after vacation. I have to go to work AGAIN??! 🤨 	{'place_id': '00c39537733fa112'}
1300524734925463554	2021-09-01T10:27:03.000Z	1433013527896330249	With my date Mr. Lion 🦁 lol😂 since non of my friends ever want to go out but its 🆗 i can have fun on my own AMC Theatres membership night $0 Harlem NYC 🗽  	{'place_id': '27485069891a7938'}
1139342067270848513	2021-09-01T04:49:59.000Z	1432928699930845185	She’s funny & has a point - she’s like: “Go out tomorrow & see your friends - wait, nvm a hurricane is coming. Or wait, you guys don’t care about anything up there. You’re like on rooftops during hurricanes”	{'place_id': '01a9a39529b27f36'}
934407307076734977	2021-09-01T02:55:52.000Z	1432899984492466176	Welcome back to school Munsey Park!  We are so excited to greet our learners tomorrow!    	{'place_id': '033b05e7cc20d98d'}
384929695	2021-09-01T02:51:40.000Z	1432898923904049153	I don’t drink Beer anymore and I go out w/ Bob & Ollie and end up having a (0) beer !I’ve easily gained 0lbs. That’s math checks out	{'place_id': '01a9a39529b27f36'}
32666997	2021-09-01T02:08:08.000Z	1432887972160999424	 We still going out to find some guys w thick thighs 😭	{'place_id': '01a9a39529b27f36'}
1356331151980433408	2021-09-01T01:45:34.000Z	1432882291601248259	The commute was lengthy but I get there and can’t explain how excited I am to see him. We chill, talk then go out for a bit and then…….BOOM!	{'place_id': '011add077f4d2da3'}
1128328929562038273	2021-09-01T01:43:15.000Z	1432881710027493384	Do you ever go out with a guy stupidly hot but he has bad glasses?? How does this happen?	{'place_id': '01a9a39529b27f36'}
885010915443302400	2021-09-01T01:35:23.000Z	1432879729405747202	 I worked with pharmacists who refused to learn scheduling, orders, budgeting bc they did not go to school for that. I get it. I did. But if RPh are getting paid 0x more than tech, I can see a lack of incentive from techs taking ownership-esp if RPh do not	{'place_id': '002e24c6736f069d'}
192263757	2021-09-01T01:05:51.000Z	1432872294192386051	 What if I told you, the greatest lesson we learned was outside of the classroom? That the battles we learned were not from a textbook? That sometimes going back to school isn’t what we need: ESPN 0 for 0 presents: The Bishops of the Gridiron	{'place_id': '011add077f4d2da3'}
1970414322	2021-09-02T23:25:41.000Z	1433571864924803076	Me when someone asks where I went to college 	{'place_id': '00c39537733fa112'}
816388825618358272	2021-09-02T23:10:05.000Z	1433567939807043595	Jump on these Back to School Sales.. 🛍🤗🤯   @ The Highway Connection 	{'place_id': '9d22866e11c9b6b7', 'coordinates': {'type': 'Point', 'coordinates': [-74.27779711, 40.61977329]}}
137075080	2021-09-02T23:07:06.000Z	1433567189219557378	The worlds ending, we might as well go out with a “bang” 😏	{'place_id': '011add077f4d2da3'}
1410228628424642561	2021-09-02T22:53:04.000Z	1433563654180507650	I'm offering a discount!GO BACK TO SCHOOL IN STYLE!! LEARNING CAN BE FUN & FASHIONABLE!!! 0% OFF NOW TIL SEPT. 0TH   via 	{'place_id': '00c39537733fa112'}
1153018171869290496	2021-09-02T22:29:49.000Z	1433557803080171536	Kinda wanna go out for drinkssss	{'place_id': 'd5140ca0d08eadc7'}
283830150	2021-09-02T22:28:05.000Z	1433557368831287298	This is unfair to further burden educators & parents to operationalize plans late in the game contingency plans as well as unfair to penalize those families that rightfully remain concerned over sending their kids back to school with no vaccine available for young kids…	{'place_id': '011add077f4d2da3'}
23030667	2021-09-02T22:27:31.000Z	1433557225746808845	Same thing happened to my dad. I ended up speaking more Spanish than him because it was basically required by the time I got to school. 	{'place_id': '01a9a39529b27f36'}
2778875816	2021-09-02T22:01:59.000Z	1433550799154655232	Crazy   &  Going Out To Our  To  Thank You For Always Showing Love & Support, Not Only To Us, But The Entire Scene! MASSIVE  All Day Everyday!0 MAIN STDOBBS FERRY NY(0)-0-0 	{'place_id': '0fc399d1e9541000'}
978299111685459968	2021-09-02T21:47:34.000Z	1433547173053009920	“Great schools” and school district lines are overlooked in urbanist discussions about where people want to buy homes. Opposing the multi-family developments is as much about not wanting your precious offspring to go to school with those lower income, ELL, immigrant kids. 	{'place_id': '00c39537733fa112'}
3904002377	2021-09-02T21:44:28.000Z	1433546391268339712	The selfie 🤳 says it all- amazing crowd today surprising Naaleh High School for a back to school concert 🎵 🎶 🎤 🥳 @ Fair Lawn, New Jersey 	{'place_id': 'd9da081322efe6e7', 'coordinates': {'type': 'Point', 'coordinates': [-74.1182, 40.9399]}}
950861930	2021-09-02T21:26:04.000Z	1433541762908397568	Lmaoo I want to go out tonight. Am I reaching ?	{'place_id': '01a9a39529b27f36'}
368623391	2021-09-02T21:09:19.000Z	1433537545841881092	 Lol!! Right. Don’t send your kids to school then??	{'place_id': '011add077f4d2da3'}
934407307076734977	2021-09-02T20:47:11.000Z	1433531976334680067	Welcome back to school Munsey Park!!   	{'place_id': '07d9c98258c88001'}
3461446522	2021-09-02T20:18:09.000Z	1433524669194383361	A few of our favorite Class of ‘0 alumni recently came to visit … and now they’re off to college! 😭 Go get em Owls! Show the world what you’re made of!!! 🦉❤️ @ Park Ridge, New Jersey 	{'place_id': 'ef8a0ca90efdf8cb', 'coordinates': {'type': 'Point', 'coordinates': [-74.0436, 41.0363]}}
17843715	2021-09-02T20:11:25.000Z	1433522973957308416	   Maybe more women would use vibrators instead of going out and screwing strangers.	{'place_id': '011add077f4d2da3'}
30552138	2021-09-02T20:10:59.000Z	1433522865396137993	When you decide last minute to go to work but you haven’t had breakfast…    @ Financial District, NYC 	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.00608982, 40.70897347]}}
103654311	2021-09-02T19:48:53.000Z	1433517303023419398	 Of course not! Nor rich women in general. They can go out of state.	{'place_id': '36aa8c1293d4ce43'}
4821990381	2021-09-02T19:31:31.000Z	1433512933888233473	Imagine you get ready and u go out and than u can’t get in nowhere! Don’t u feel just a little bit intellectually disabled?!	{'place_id': '011add077f4d2da3'}
305331479	2021-09-02T19:25:35.000Z	1433511442083418113	I’m fully prepared to go to school tomorrow to my classroom being flooded	{'place_id': 'ea36c6003e42f3d0'}
136650035	2021-09-02T19:21:11.000Z	1433510333856026631	I feel like going out to dance this weekend. 	{'place_id': '011add077f4d2da3'}
912172143885955073	2021-09-02T19:11:10.000Z	1433507813934968848	People love to go out their way to do petty shit and I literally don’t care to entertain it at all.	{'place_id': '27485069891a7938'}
768174192562962432	2021-09-02T19:08:49.000Z	1433507219874668546	So important as we transition back to school for   	{'place_id': '01a9a39529b27f36'}
874804966023626752	2021-09-02T18:33:15.000Z	1433498270937096197	If the world ending let me know so I can stop going to work	{'place_id': '011add077f4d2da3'}
231979119	2021-09-02T18:15:01.000Z	1433493680166424576	No wonder Nissa don’t go out Lmaoo 😭😭 like da fuck?!  First it was happy now this y’all gotta do betta country folks 	{'place_id': '00c39537733fa112'}
1441899385	2021-09-02T17:26:58.000Z	1433481590894735368	my sister wants to go out in Ann Arbor tomorrow night... i will finally experience college town weekends. I am horrified! Go blue!	{'place_id': '011add077f4d2da3'}
17843715	2021-09-02T17:17:56.000Z	1433479317556764672	Prayers for all the pineapples going out there.	{'place_id': '011add077f4d2da3'}
57233791	2021-09-02T17:10:02.000Z	1433477326680039429	environmental racism at its finest folks, my thoughts & prayers go out to those who lost their lives and their families 	{'place_id': '01a9a39529b27f36'}
593324185	2021-09-02T17:02:10.000Z	1433475347765501954	brianna has tricked me into going back to college, wish me luck	{'place_id': '01a9a39529b27f36'}
993245107821465600	2021-09-02T16:49:03.000Z	1433472046210732042	Domestic supply release is the only answer This isn’t just for the  btw — go find the  investors who are limiting capex increases and knock on their door Relying on Russia and Angola and Nigeria isn’t going to work.,, leading up to midterms   	{'place_id': '01a9a39529b27f36'}
28645493	2021-09-02T16:31:57.000Z	1433467744826036228	 I think that stories going out but not making a splash is part of it... Not necessarily because the stories are worse but because now readers are sort of waiting for the writer to top themselves every time.	{'place_id': '00c39537733fa112'}
352580700	2021-09-02T16:23:43.000Z	1433465671254519813	I actually have to go out today..and I’m like.. 	{'place_id': '01a9a39529b27f36'}
1856368447	2021-09-02T16:21:05.000Z	1433465007858196485	I come from poverty and instead of waiting for the government to help. Go out there and take it.  Blaming the government is the same as blaming others for your failures. Most of us grew not wealthy but with parents who made sure we had enough to chase our dreams.	{'place_id': '00c39537733fa112'}
4867768384	2021-09-02T16:18:15.000Z	1433464296214831104	"Well, since I'm stuck here,  going out of my way to catch upn on someb doodles of this guy. Whom I shall name ""Revealing Light""  or just Light for short.     "	{'place_id': '011add077f4d2da3'}
1304210400473501707	2021-09-02T16:14:57.000Z	1433463468242444288	This is the subway next to my office. I had to take a 0 dollar Uber to get home. Best believe I’m expensing that shit 	{'place_id': '01a9a39529b27f36'}
1197507477773963264	2021-09-02T16:10:52.000Z	1433462440470196228	Our hearts go out to the families and friends who lost loved ones during the storm yesterday. As the damage is assessed, we will find ways to help in any way we can. Stay strong 🗽❤️	{'place_id': '011add077f4d2da3'}
3242604790	2021-09-02T16:06:42.000Z	1433461391655067662	 So tired. Poor Hieu still had to go to work. Basement has no standing water. 👍	{'place_id': 'b046074b1030a44d'}
308256921	2021-09-02T15:55:02.000Z	1433458452542656512	0 years ago today I went to college wtf 	{'place_id': '01a9a39529b27f36'}
1225204624694616064	2021-09-02T15:26:57.000Z	1433451388441399299	*don’t go out unless is a life depending situation*The situation:  	{'place_id': '01a9a39529b27f36'}
1313365705383989249	2021-09-02T15:11:59.000Z	1433447621813837828	I just heard the sad news that 0 days ago Gregg Leakes  passed away. I want to acknowledge the fact that he was a part of all our lives for many years. And I'm sad to see him go. Our hearts go out to NeNe Leakes  If we knew one she loved her husband.SIP🙏🏾 	{'place_id': '00c55f041e27dc51'}
1100867922451415040	2021-09-02T15:07:52.000Z	1433446585980145665	“Now one plus one equals two, that happens every day, that is not magic. That's the grind. That's when you get up, one. Go to work, one. Go to bed.”	{'place_id': '00c39537733fa112'}
1928818741	2021-09-02T15:03:44.000Z	1433445544559534082	   We aren’t stranded since we are only on the 0th floor and can take the stairs (our building is only 0 floors). They say it’ll be up in a few hours. Aside from that and continuing subway delays, it’s really not bad where I am, but I don’t have to go to work today anyway.	{'place_id': '011add077f4d2da3'}
66858922	2021-09-02T15:02:43.000Z	1433445287562031111	Hurricane Ida showed us all how decrepit and unprepared our City’s infrastructure was to the heavy rainfall. My sincere condolences go out to the family and loved ones of those who passed away because of the devastation caused by Hurricane Ida. 	{'place_id': 'edd2aa964fa61ec9'}
21469731	2021-09-02T15:01:53.000Z	1433445077469253639	Sept 0 | Benning Courts Community End of Summer Back to School  	{'place_id': '01a9a39529b27f36', 'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}}
15996789	2021-09-02T14:56:54.000Z	1433443824999845889	 The “infodemic” is worse than the “pandemic” because the only inoculation is sending everyone back to school to learn at least basic critical thinking 🤔	{'place_id': '34030d071fb1e14f'}
789769982200741888	2021-09-02T14:42:19.000Z	1433440155080220673	Ima kill myself one day and I don’t want help….. i wanna go out wit a bang	{'place_id': '011add077f4d2da3'}
44235359	2021-09-02T14:20:50.000Z	1433434746139267072	My wife is out of town, I bailed all the water out of my basement, got some ice to save the food in the fridge, I’m exhausted but I can’t sleep. Guess I’m going out for bagels, it’s the most NY thing I can do.   Can’t even make coffee…	{'place_id': '011add077f4d2da3'}
331902010	2021-09-02T13:49:21.000Z	1433426823535153152	My family is Ohio is calling to see if we’re okay with all the flooding. I told my brother “I’m still going to work and there’s still a guy who may or may not be jerking off in the corner of the train.” Manhattan. Money never sleeps.	{'place_id': '01a9a39529b27f36'}
26310873	2021-09-02T13:40:41.000Z	1433424645760372736	I'd like to go to school and get one more day of class set-up... I really would... butttt... 	{'place_id': '01a9a39529b27f36'}
1476546709	2021-09-02T13:24:51.000Z	1433420660768968704	Literally wanna go out for drinks lol but this time I’m not paying 😂	{'place_id': '011add077f4d2da3'}
19269539	2021-09-02T13:24:48.000Z	1433420645069635584	Was going to go in to school today to set up classroom. No trains and these are the current Lyft prices … well, guess I’m staying home today 🤷🏻‍♀️ 	{'place_id': '00c39537733fa112'}
1154560754907013121	2021-09-02T13:12:25.000Z	1433417531545501706	" This! My only meeting today was canceled because it was with my boss and she said ""why tf would you go out into that?"" 😂"	{'place_id': '00c39537733fa112'}
95269369	2021-09-02T13:02:01.000Z	1433414911422574598	 Unfortunately I’m very poor so I have to go to work sir lol	{'place_id': '01a9a39529b27f36'}
3073356760	2021-09-02T12:54:45.000Z	1433413084677353478	Woke up at 0:0 to get Shaun ready for school, drove him to school to only realize there’s no school bcuz of the weather 	{'place_id': '011add077f4d2da3'}
1157127025636851713	2021-09-02T12:28:27.000Z	1433406467365871617	    She just had a baby she can not go out in public white people does things differently no one knows if the President Obama gave  them a invitation and even if Megan and Harry didn't go that's not a big deal you🤡🤡🤡	{'place_id': '00c39537733fa112'}
282741717	2021-09-02T12:21:05.000Z	1433404612082601984	I’ll probably go to work but I’ll go around 0:0-0	{'place_id': '7329ff8dbdf5bc00'}
387548091	2021-09-02T12:20:17.000Z	1433404411972304899	There’s flooding all over and employers are still expecting people to go to work. Shit is crazy	{'place_id': '002e24c6736f069d'}
14392973	2021-09-02T12:04:17.000Z	1433400382890430466	“If you don’t want it to still be summer, and want to make kids to go back to school early, take this!” ~Ida	{'place_id': 'c2800db81ba22abc'}
1001178515256107009	2021-09-02T11:41:48.000Z	1433394727156690952	 I had to take the ferry to school because the trains were down for so long! I just didn’t remember that level of wind from sandy	{'place_id': 'b046074b1030a44d'}
36167229	2021-09-02T11:36:27.000Z	1433393381477072904	Well, the magnitude of the flood in queens is not how I wanted to be awoken today. Waiting to see if I’m going to school now 😰 out past exit 0 😭	{'place_id': '00c39537733fa112'}
186533066	2021-09-02T11:34:04.000Z	1433392778336145409	Sad about the effect of the storm , road closures , fdr in particular , a nurse  trying to Go to work and make it to the hospital to take care of the sick , cannot even given consideration to pass through 😱	{'place_id': '01a9a39529b27f36'}
720432251956248576	2021-09-02T11:26:16.000Z	1433390818191159296	Jeezus. This is like what was happening on my balcony last night— with my drain spouting water up out of it. It was insanity. Now this morning I need to go out there and pick up the dead carcasses of all my plants and even my 0-foot fig tree was felled by the storm. 	{'place_id': '01a9a39529b27f36'}
1051313227	2021-09-02T11:09:26.000Z	1433386580513902595	 Ladies exercise your 0A rights against bounty hunters & go out only wearing mask on your vagina's screaming My Freedom is being taken away 🤬	{'place_id': '011add077f4d2da3'}
62834954	2021-09-02T11:05:30.000Z	1433385591211704320	My son really came thru and picked me up so we can go to work. Im low key tight lol	{'place_id': '01a9a39529b27f36'}
54655161	2021-09-02T11:00:36.000Z	1433384358975574016	 I feel that. There are lots of people we went to school with who got their life together, married and bought a house. Meanwhile, I can't even get my shit together enough to decide what kind of cheese I like on my sandwich.	{'place_id': '01a9a39529b27f36'}
454892801	2021-09-02T10:52:51.000Z	1433382406778769408	"I don't know yet how much rain NYC got in total, but apparently at one point 0"" fell in a single hour. Our power didn't go out, but the basement of our apartment building is flooded."	{'place_id': '011add077f4d2da3'}
95678407	2021-09-02T10:30:36.000Z	1433376805843570697	Definitely not going to work today	{'place_id': '00c39537733fa112'}
1291689059472084992	2021-09-02T09:50:02.000Z	1433366600678215684	 Is the C or 0 train running? cuz I need to get to school?	{'place_id': '01a9a39529b27f36'}
103083967	2021-09-02T09:46:18.000Z	1433365660814426113	The  should have shut NYC down completley so no one would have felt the pressure of going to work.       	{'place_id': '00c39537733fa112'}
1092781528101326849	2021-09-02T07:05:59.000Z	1433325313396781056	You really could be doing everything right, investing, saving, not going out, not buying the unnecessary…. Then all the “necessaries” pop up.	{'place_id': 'b046074b1030a44d'}
966820888946425856	2021-09-02T05:40:38.000Z	1433303836471463936	My fellow New Yorkers, my heart and condolences all go out to you, this devastating rainfall was beyond crazy. Never seen anything like that but this is gone to another level.To the frontline professionals working throughout the hurricane. STAY SAFE! 🙏🏽🙏🏽🙏🏽 🖤❤️🖤 x 🖤💙🖤	{'place_id': '07d9db4bc3c87001'}
309428010	2021-09-02T05:33:57.000Z	1433302152580055042	for all i can tell it's the apocalypse outside but i wouldn't know because i don't go out there	{'place_id': '011add077f4d2da3'}
3484815199	2021-09-02T05:29:04.000Z	1433300925091885057	  0 yr old kid abt to start 0th grade, will take a city bus. If up by 0 (0 at latest!) will have time to dress, eat, etc & walk 0 mins to bus stop by 0 to get to school (w/leeway for traffic, bus lateness) for 0 start. It's been yrs of this - we all get up at ~0 for school.	{'place_id': '011add077f4d2da3'}
2306573867	2021-09-02T05:05:46.000Z	1433295060347523073	this bitch talking about going to work tomorrow like huh?	{'place_id': 'fa3435044b52ecc7'}
1116226742891556864	2021-09-02T04:01:51.000Z	1433278976743649280	they giving me flash flood warnings like i'm boutta go out and save mfslike bro,im not batman	{'place_id': 'f97108ab3c4a42ed'}
1391183964275085318	2021-09-02T03:28:14.000Z	1433270516710842369	 It's going out to sea	{'place_id': '002e24c6736f069d'}
1058746468620795905	2021-09-02T03:10:00.000Z	1433265926653284354	 Ain't funny how, when they let's go out.	{'place_id': '01a9a39529b27f36'}
1371225079011536909	2021-09-02T03:06:05.000Z	1433264943579770883	Power better not go out i got my big speaker plugged in listening to Dee Aura rn	{'place_id': '00c39537733fa112'}
1777681	2021-09-02T02:54:13.000Z	1433261955469516800	     Yep. My kids went to school around the corner. Frequent sandbags at the doors of the cafe.	{'place_id': '011add077f4d2da3'}
1241031959394091008	2021-09-02T02:47:50.000Z	1433260349038465026	Back to School Family Forums    @ Wings Academy 	{'place_id': '002e24c6736f069d', 'coordinates': {'type': 'Point', 'coordinates': [-73.87523115, 40.84144803]}}
266908590	2021-09-02T01:46:33.000Z	1433244927916400645	Me anytime I go out in Manhattan 	{'place_id': '011add077f4d2da3'}
262480117	2021-09-02T01:21:32.000Z	1433238631972544513	Tornado warning if this is how I go out life’s a scam	{'place_id': '01a9a39529b27f36'}
165300400	2021-09-02T01:19:38.000Z	1433238150919430144	  Because Sarah can have an abortion and go out to dinner with Susie and nothing happens.  But if Sarah has tickle in throat and has covid and goes out to dinner with Susie…Susie can die.	{'place_id': '00c55f041e27dc51'}
472441611	2021-09-02T01:18:04.000Z	1433237758672244736	I never been this typa female ya be going out sad 😕😭 	{'place_id': '23a06e5cc6d83009'}
1390357089252483076	2021-09-02T01:15:19.000Z	1433237064691208196	Wasn't it you ...Who said ..We'd b together allllways  ...I think I've been misled ...in0 go out 0 seaaaa ...( But Now) ...🔥🔥🔥🔥🔥	{'place_id': '00c39537733fa112'}
32490314	2021-09-02T00:33:58.000Z	1433226661814837248	I did say I was going out for a drink but it’s a whole thunderstorm ⛈	{'place_id': '07d9d956f8486001'}
400882865	2021-09-02T00:27:26.000Z	1433225015005220864	“Do you need to go out?Because we’re definitely not doing that right now.” - me to my dog just now	{'place_id': '011add077f4d2da3'}
906631021189369856	2021-09-02T00:17:32.000Z	1433222523567710208	  It is a school night you’re not even wrong, gotta wake up n go to college so I can be more successful than you’ll ever be. But don’t worry I will use you as motivation whenever I’m having a bad day, it could be worse. I could be you.	{'place_id': 'b046074b1030a44d'}
2904563375	2021-09-02T00:11:25.000Z	1433220986896257028	 If Amazon sellers keep using the USPS they will go out of business . They will take a package faster than a porch pirate and claim they were directed to give it to a neighbor! Shameful you’ll get your money back but the seller will get screwed	{'place_id': '011add077f4d2da3'}
1319690503324110853	2021-09-02T00:02:54.000Z	1433218841119707143	bored. i want all my friends to get rich and we go back to school to get a masters at the same time simply for life enrichment	{'place_id': '01a9a39529b27f36'}
3073356760	2021-09-02T00:01:40.000Z	1433218533417275393	If i go out the house i need to be comfortable	{'place_id': '011add077f4d2da3'}
44277501	2021-09-03T23:47:30.000Z	1433939743537045508	JR Smith Goes Back to College.Best show of 0 tbh 	{'place_id': '011add077f4d2da3'}
57743707	2021-09-03T23:35:43.000Z	1433936775441944577	Leaders lead and on that note if I had a business “leader of the week” award it would go out to Doing what it takes to build the Texas economy and building a better tomorrow, Norbert is a true leader and I am proud to partner with him on a variety of key projects.	{'place_id': '01a9a39529b27f36'}
1387876640290639872	2021-09-03T23:32:19.000Z	1433935921246781443	Thank you Vickie for checking out the damage my heart breaks seeing what happened to College Point Whitestone and Bayside with the flooding that happened Wednesday Evening 	{'place_id': '00c39537733fa112'}
211974999	2021-09-03T22:11:03.000Z	1433915467786301442	Tired and probably asleep by the time trick or treaters go out. 😂😂😂 	{'place_id': '01a9a39529b27f36'}
709180064	2021-09-03T21:47:35.000Z	1433909563301023745	i think my fear around going back to school is once I’m there I’m on my own for good. God will make a way, I know it.	{'place_id': 'b046074b1030a44d'}
709180064	2021-09-03T21:46:46.000Z	1433909358014914562	i think my lesson in this season is i need to take my ass back to school and I am. because i can’t do this anymore.	{'place_id': 'b046074b1030a44d'}
43452281	2021-09-03T20:57:37.000Z	1433896988387512333	I know I’m one of many, but g’damn I love the whole JR going to college updates 	{'place_id': '011add077f4d2da3'}
735852767240032257	2021-09-03T20:49:15.000Z	1433894882129678358	I don’t need to go to work. I need a NAP	{'place_id': '01a9a39529b27f36'}
1395615037717426179	2021-09-03T20:47:03.000Z	1433894328607379473	0😇🎙️ Tel us a little more ZOOM 💼🧒 well I could use it in my ROOM .Zoom is good .I actually used it to go to school (online) and get my OSHA 0 ! 👦🏿👦🏾👦🏾 WHAT 💼🧒 For FREE 😇🎙️ I definitely need to know about this 👂 	{'place_id': '011add077f4d2da3'}
860881869533057024	2021-09-03T20:15:23.000Z	1433886363217276930	Ima need a nap before I go out tonight	{'place_id': 'fa3435044b52ecc7'}
1267295514510405637	2021-09-03T20:09:33.000Z	1433884892211908614	I kinda want to go out tonight 🧐	{'place_id': 'b87b05856ab8dbd8'}
1863903781	2021-09-03T19:55:22.000Z	1433881324729864196	 the redesigned Accessible sleeper is horrendous in my opinion. As a power chair and scooter user in my opinion you ABSOLUTELY missed all marks. Accesdible toilet does not mean we want to go out in the open, why does the bed recline under the sink? 	{'place_id': '94542c3c348faf28'}
1085723894	2021-09-03T19:32:52.000Z	1433875660880162818	Lets go out soon 🥺❤️ 	{'place_id': '00c39537733fa112'}
1124375143	2021-09-03T19:30:05.000Z	1433874959722549264	Grateful to join      for a Back To School Supplies Giveaway and Resource Fair in Bathgate Playground. Awesome event to prepare our students as they return to school.   	{'place_id': '07d9f3d16d882001'}
1407120020929384455	2021-09-03T18:55:56.000Z	1433866366193475594	Im probably going to go out and get wasted, but lord knows im dying to play apex 🙃 	{'place_id': 'fa3435044b52ecc7'}
419310163	2021-09-03T18:37:29.000Z	1433861724449411073	 Can’t even go out in shorts man it’s absurd I strictly have pants in my closet 0 pants and 0 pairs of shorts	{'place_id': '01a9a39529b27f36'}
1416838330868719622	2021-09-03T18:11:14.000Z	1433855118731010052	   Mmmm hell yea  🔥🔥 that’s how I like to go to work on the hole 🤤🤤🤤	{'place_id': '01a9a39529b27f36'}
32692734	2021-09-03T18:08:18.000Z	1433854378000240642	After watching that episode about Amber Guyger and how that bitch tried to go out on a date with a married cop right after killing Botham Jean. She thought she was in the clear, u cant trust the judicial system they cover for their own 	{'place_id': '011add077f4d2da3'}
1163299811686113286	2021-09-03T17:53:02.000Z	1433850535862579203	Just got turned down for a performance job, guess I’m still going to college this semester. It’ll be nice to stay in one place for a while and have some fun in the city but it still sucks a little. I guess just got to keep moving forward. ☺️😔	{'place_id': '01a9a39529b27f36'}
593324185	2021-09-03T17:23:19.000Z	1433843057665925127	not both my parents trying to convince me NOT to go to college IM SO CONFUSED	{'place_id': '01a9a39529b27f36'}
39550885	2021-09-03T17:03:01.000Z	1433837950933078019	The River supposed to crest tn. And is it messed up that in the middle of this disaster i wanna go out with my friend. Am i in denial rn 😭🤣	{'place_id': 'dc4ad595a56393ac'}
4861170652	2021-09-03T17:01:20.000Z	1433837528164016139	Not the pediatrician telling me his physical not gonna be ready until the first fuckin day of school??? Ok so he just won’t go to school the first week they not about to stress me out	{'place_id': '7329ff8dbdf5bc00'}
480731260	2021-09-03T16:45:45.000Z	1433833603830620161	I need to make some girl friends… I wanna get dressed up and go out on a girls date… or to a club	{'place_id': '00c55f041e27dc51'}
15440411	2021-09-03T16:25:09.000Z	1433828422137045004	This! And also, flash flooding warnings scream “don’t go out.” Not evacuate. It’s all so confusing. 	{'place_id': '00c39537733fa112'}
480731260	2021-09-03T16:15:43.000Z	1433826045522759682	I don’t like a guy that says flowers are for special occasions only but then get mad when I go out and get flowers for myself	{'place_id': '00c55f041e27dc51'}
394946692	2021-09-03T15:35:03.000Z	1433815814080274432	Texas govt officials were the kids you went to school with that whined, snitched, complained and wore hunting and fishing brand shirts. 	{'place_id': '858cec499f8adba6'}
761229299454205953	2021-09-03T15:12:26.000Z	1433810122128740353	A huge part of why I love working for  is having leaders that go above and beyond to support their team! Thank you to the leadership team of   for helping their associates with back to school season      	{'place_id': '1262a09771547000'}
31628710	2021-09-03T15:07:57.000Z	1433808992153788417	the way my man was holding me this morning made me think twice about going to work	{'place_id': '002e24c6736f069d'}
166403903	2021-09-03T14:48:13.000Z	1433804028220219392	Way 0 sexy is going to be a great song to get dressed to before going out for a night of fun lol	{'place_id': '011add077f4d2da3'}
3022730283	2021-09-03T14:39:27.000Z	1433801819399114764	  Yes. Canvassing her district isn't calling people for cash to spend in Texas or sending text messages to folks in Manhattan. It's actually going out there and knocking doors it would have broke gram and Twitter.	{'place_id': '011add077f4d2da3'}
3022730283	2021-09-03T13:37:53.000Z	1433786325401063472	She didn't go out bc she was making calls for Texas. Always remember she was chasing national clout instead of helping the low income citizens and immigrants most affected by a natural disaster within her district. If she were out it would have been all over the gram.	{'place_id': '011add077f4d2da3'}
3022730283	2021-09-03T13:37:52.000Z	1433786323945627657	Queens families shattered from Hurricane Ida's flash floods - Just remember  made a phone call to these folks while she raised money for Texas. Should have been on the ground. Now I know she said she was going out into the district but obv  	{'place_id': '011add077f4d2da3'}
993245107821465600	2021-09-03T13:19:21.000Z	1433781665009225749	The recovery is obviously a grind But don’t fully judge on August — we’re getting past peak  impact, back to school coming, and we simply just have to move onto living with  Still a grind, but as I’ve said since March/April, it really starts in sept 	{'place_id': '01a9a39529b27f36'}
39430945	2021-09-03T12:42:51.000Z	1433772479013609475	I said I was gonna go to work at 0 I lied 0 maybe? Lol	{'place_id': '002e24c6736f069d'}
169740444	2021-09-03T12:31:07.000Z	1433769522918481934	Listening to  in the am so far is confusing I feel like I just left the club but I’m going to work	{'place_id': '011add077f4d2da3'}
