2021-08-02T23:55:52.000Z	1422345434392010810	I should probs go to the gym to get my mind off things	{'place_id': '05b5c83b6407aaac'}
2021-08-05T03:59:10.000Z	1423131439369900041	i desperately need a personal trailer to get my ass to go to the gym and tell me to stop eating shit	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T03:34:40.000Z	1423125276519649280	     I usually prefer to paddle when I bike but sometimes when I am tired, too windy or coming to the gym I want a little push and ebikes are just great.	{'place_id': '01c060cf466c6ce3'}
2021-08-05T03:28:03.000Z	1423123609074032646	Went to the gym again today after a 0 week hiatus: 	{'place_id': '20ba6fb3b1ee82da'}
2021-08-05T02:59:39.000Z	1423116462344970241	Bro. Almost everyone in my class has bombbb ass fits.. I NEED TO GO SHOPPING. yikes 🥲	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T02:42:43.000Z	1423112199514464261	They had coconut cake at this wedding I went to when I was four and I’m still pissed about it	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T02:27:28.000Z	1423108363907309568	Back to the gymWeek   	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T02:27:15.000Z	1423108307250651140	 Pull up to the concert ??	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T02:16:44.000Z	1423105663069163520	Is it rude to wear a tiara to someone else’s wedding? *hint: tell me no	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T01:19:20.000Z	1423091216913031170	I went on a date with a YT and I hate so say it but it was actually quite nice 	{'place_id': '38ea9782c8d83a4b'}
2021-08-05T01:15:37.000Z	1423090280736034818	Back from the Bayou. All eyes on  and  wedding. ❤️🙏  🤣	{'place_id': '01c060cf466c6ce3'}
2021-08-05T01:09:44.000Z	1423088799513419776	 Yes! Totally. I’m going to the mall this weekend. If they don’t have it, I’d be happy to send you mine. I m taking some pics in it but won’t need it after. Trying to live that Marie kondo life	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T00:18:07.000Z	1423075810462769153	 If theres no Taco Nadas at the wedding im gonna commit a war crime	{'place_id': '0c2e6999105f8070'}
2021-08-05T00:13:03.000Z	1423074537445281794	certified wedding song ❤️ 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T23:56:42.000Z	1423795196924362757	Today is my og hairstylist/ mentor’s birthday 🥳 my grandma’s birthday and mom’s one year wedding anniversary August 0th forever ♌️🤞🏾❤️	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T23:50:35.000Z	1423793658151587842	If I’m going to the gym tomorrow I should just run right quick today	{'place_id': 'f8f8ee516109ee0e'}
2021-08-06T23:50:09.000Z	1423793547371679745	Pulling up to the wedding in this tomorrow !!!   	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T23:35:54.000Z	1423789963011788802	New shipments today include:•CBX wedding cake + Kush Mt 0ths•CBX wedding cake + Kush cake terp sugar•Plug and play pods• 0 genetics•Tower Prerolls	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T23:28:21.000Z	1423788063159840771	Forgetting to bring your head phones to the gym is not the business. 😠	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T23:21:01.000Z	1423786218244874242	after 0 months I finally went to the gym to destress and honestly I can think so much clearer now but i’m sad i’m weak again	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T22:23:24.000Z	1423771717319622658	I wanna go out to do something spontaneous!!😩😩😩 like OC fair or six flags or to the movies! I’m tired of staying home ! But like with these cases are raising up again.. I gotta have to stay home… whatsoever 😒	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T22:11:42.000Z	1423768772104450048	I hate to say it but Dani’s wedding make up was um…horrible tbh 😭	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T22:00:27.000Z	1423765939909107715	 I can’t wake up fully unless I shower in the morning every day…sometimes twice in a day if I’ve gone to the gym, too. Sorry, California’s drought 🥴🥴	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T21:31:28.000Z	1423758646731804673	Just posted a photo @ A & C Wedding Accessories 	{'coordinates': {'type': 'Point', 'coordinates': [-118.17594, 33.90811]}, 'place_id': '7d2aec133a24b554'}
2021-08-06T21:25:05.000Z	1423757041286320131	I haven’t been to a party in a min... so who’s gonna invite me to one	{'place_id': '2008b1cea656f14b'}
2021-08-06T21:10:38.000Z	1423753405453856768	Amen!!! I can continue to eat out every day!!!  	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T20:46:09.000Z	1423747245292199937	FHIS IS RIBS [FRED & and BAM BAM -] found NEW MEANS WEDDING 💒 👰 BLUES OF NEW TO GOLD DAUGHTER ME MINE have to DRILL ,, ON RIBS BY MOVING LORDE ELLA INTO KKDNEY 🫀MOVING ZAYIN IN same] 	{'place_id': '0fc3234b6994c000'}
2021-08-06T20:31:54.000Z	1423743659275472898	bought an uncrustable omw to the gym and it fell off my hands in the bus and now i no longer have a uncrustable	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T19:52:14.000Z	1423733675888234498	Had a dream that I had a fake wedding with Diddy. Wtf lmao 🥴	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T19:32:22.000Z	1423728674394673152	… what is it with grown adults doing prom-themed wedding activities? Why are so many grown ass adults obsessed with prom?	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T19:11:08.000Z	1423723332780761095	I’m watching this foodie YouTube vid and OH MY GOOOOD I just remembered the Filet mignon I had at my cousin’s wedding last month. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T18:56:59.000Z	1423719769992163328	OOTD for first full day in California! 🖤 Ugh I'm so happy rn. Going shopping now! 	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-06T18:48:45.000Z	1423717700828745730	I never go to the gym to have a cute lil work out , I’m training for dog fight we is not da same, n I don’t wanna get beat up  , ima die on da line 💯😭	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T18:41:41.000Z	1423715920585895939	                @ Downtown Los Angeles 	{'coordinates': {'type': 'Point', 'coordinates': [-118.248217, 34.036681]}, 'place_id': '3b77caf94bfc81fe'}
2021-08-06T18:17:27.000Z	1423709821971308544	And, if possible, not just hold the majority of 0-0 but EXPAND their majority. Although the argument can be made that it's better to have a Party power-split between gov't branches, we basically have that since  is decidedly conservative hence new laws will be reviewed. 	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-06T18:15:26.000Z	1423709312627580932	Summer 0 we really would show up to the party fuck the crib up then roll on to the next one until like 0 am 😂	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T17:00:39.000Z	1423690493204959232	needa start going to Church again	{'place_id': 'f2b1ac6c9d15503f'}
2021-08-06T15:28:59.000Z	1423667425287958536	Dopest wedding moment Iv seen in a while 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T12:59:08.000Z	1423629714984300558	my superstitious butt went on a date with a highly mediocre guy who said all his exes are in long term relationships now	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T09:44:56.000Z	1423580844707377152	Working out has an adverse effect on me. Like I’m tired as hell going to the gym, then leave feeling like I just snorted a pixie stick and shot gunned black ice coffee.	{'place_id': '1193edda55d6fa3d'}
2021-08-06T08:36:58.000Z	1423563740033650688	Goes to a concert with over 0k maskless people dined get COVID Goes to get lashes does get COVID 😷😩	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T07:56:04.000Z	1423553446163058690	LA Meetup         👀👀	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T07:55:57.000Z	1423553416224145412	LA Meetup         👀👀	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T07:17:54.000Z	1423543841139822593	 Our wedding song, Overjoyed by Stevie Wonder	{'place_id': '67571a7baaa5906b'}
2021-08-06T06:59:22.000Z	1423539177237323777	i went to the mall today, used the massage chair and it left me bruises on my back 😅 i need a bath to soothe them 🥺	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T06:53:52.000Z	1423537793922334727	Im having banda at my wedding. No doubt about it	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T06:46:10.000Z	1423535854388084738	I been going to the gym putting in work but once I get snatched, I don’t want none of the mofos who had the chance to come back! Ya had the opportunity, nexttttt 😤	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T05:41:02.000Z	1423519463920439299	Roll me a joint and head out to the gym.	{'place_id': '67571a7baaa5906b'}
2021-08-06T04:46:10.000Z	1423505654308765696	Keep forgetting to bring my watch to the gym… these workouts don’t even count 🥲	{'place_id': '1193edda55d6fa3d'}
2021-08-06T04:46:09.000Z	1423505651104305153	I survived August 0th 😌 went to class, gave some awesome insight about queerness during it, went to the gym, got a haircut, did laundry and now imma watch the new suicide squad 😌 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T04:23:22.000Z	1423499916530180096	  this is what I'm wearing for the wedding.	{'place_id': 'b0b79caecef59fb5'}
2021-08-06T04:12:32.000Z	1423497190366871557	Me going to the gym every morning after my overnight shifts 😴 	{'place_id': '67571a7baaa5906b'}
2021-08-06T03:27:53.000Z	1423485956842156038	Didn’t know how lit hyper pop was until I went to a concert	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T03:07:48.000Z	1423480900285722624	I came at the worst time to the gym	{'place_id': '07dccb89e8f25a8f'}
2021-08-06T03:07:35.000Z	1423480844803399683	Take me to church Kanye 🧎‍♀️	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T02:57:32.000Z	1423478318070845442	Not my sister going out to a party while I’m locked in the house doing hw 😩	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T02:50:43.000Z	1423476601686269959	  These ppl suck alllll of the fun outta eating out as a group. In the past we’ve ordered pitchers of drinks, and some have tried to divide it by how many drinks and how large of a pour someone did 😒like man come on this isn’t a college final!!!	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T02:02:37.000Z	1423464497566523393	 It is confirmed that the set is about a vampire wedding. I’m not sure if sorin is confirmed the groom. But all signs point to it	{'place_id': '1927193c57f35d51'}
2021-08-06T01:47:13.000Z	1423460623329857537	I wanna get married in a movie so I don't have to spend the money for a wedding IRL.	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T01:18:21.000Z	1423453357671211009	If you ignore my woof on scruff and ask me for a drink at work you are legally required to leave me a $0 tip as reparation.	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T01:02:30.000Z	1423449369605402632	I just got home and my son is making me go to the gym 😭😭😭	{'place_id': '1193edda55d6fa3d'}
2021-08-06T00:59:23.000Z	1423448584926625792	Remember when I said shout out to the gym 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T00:25:58.000Z	1423440173338030082	So my Grindr date took me on his boat to this little island… and now I’m attending a wedding of someone who might be my daughter but also two others guys may be the father as well???	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T00:01:07.000Z	1423433920767430658	I told my sister we can finally go back to the gym tomorrow because I feel better and I’ve never seen her so excited	{'place_id': '0c2e6999105f8070'}
2021-08-07T23:54:10.000Z	1424156946676862977	Went back to the gym today. Feels good 💪	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T23:53:50.000Z	1424156864875433984	 Let me tell you about Cambodian wedding food. 🥰🥰🥰🥰🔥🔥🔥	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T23:39:34.000Z	1424153274358272002	 lmao i didn’t even get that was a reference to her wedding dress	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T22:54:07.000Z	1424141836671754241	All the details for an elegant wedding @ Coyote Hills Golf Course 	{'place_id': '2feb76248fd9c581', 'coordinates': {'type': 'Point', 'coordinates': [-117.905435, 33.89881]}}
2021-08-07T22:39:13.000Z	1424138083788759040	Watching Alejandra plan her wedding makes me soooo happy!!! 🥺	{'place_id': '741e9df4d2522275'}
2021-08-07T22:12:06.000Z	1424131262239834119	Who’s taking me on a date for thisssssssss?! 🥺 	{'place_id': '1100db27cd9d364c'}
2021-08-07T21:48:08.000Z	1424125228565753856	 No. I think when the FDA gives official approval, you’ll see a giant uptick in vaccine acceptance. I also think many young people don’t feel like they’re in danger from Covid. So there’s no urgency, but if they can’t go to a concert they want to, there will be urgency.	{'place_id': '01c060cf466c6ce3'}
2021-08-07T21:23:48.000Z	1424119107973128199	The security guard at my new dispensary just asked for my IG so he can slide in my DM’s and take me out on a date LOL	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T21:01:05.000Z	1424113389102505987	So much for going to the gym, playing basketball outside in this heat got me dripping 💦	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T20:42:51.000Z	1424108802291376130	I used to HATE going to the gym, now it’s my favorite part of the day.	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T19:53:53.000Z	1424096479463940098	 Lol I pray you make it to church as well 🙏🏼 have a shot for me as well because I'm not drinking none today.	{'place_id': '0fc6568d145d84ac'}
2021-08-07T19:42:39.000Z	1424093649634168832	 Using what looks like wedding pictures to make his point is kind of showing his hand, in my opinion.This is a happy couple on their happy day and he's calling her a racist… against her own race.So that makes him… idk, evil? Anti-human?	{'place_id': 'd35feae19d268b09'}
2021-08-07T19:28:40.000Z	1424090132261445632	i’ve been so swamped with work that i haven’t been able to go to the gym and my FINALLY went today. i literally feel brand new 🥵	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T19:23:31.000Z	1424088834447269890	I think this sale is literally at the same space our wedding was at lol	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T19:18:06.000Z	1424087471797596160	no im not getting married… my best friend is so im omw to his wedding. why are ppl congratulating me on gettingmarried 😂😂😂😂	{'place_id': '771f8196d3598fe8'}
2021-08-07T19:13:19.000Z	1424086268002979850	 It’s the only band merch I truly have that fits man, going to the gym and pretty much outgrowing larges hurts 😿 but this shirt is clean!	{'place_id': '9e42709040fafdb7'}
2021-08-07T19:06:53.000Z	1424084651371421702	Excited to go back to the gym. Took a week and a half off and I feel so sluggish! 😭	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T18:28:39.000Z	1424075030229512193	How you not gonna invite someone to your baby shower or any milestone moment in your life like your wedding and then expect someone to be there for you? Got me fucked up	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T17:30:34.000Z	1424060410810880001	I wanna go shopping soon 😭	{'place_id': 'c1e1a49e92ce1ba0'}
2021-08-07T17:14:19.000Z	1424056320508923905	I’ll keep this in a note and make sure if a shawty or anyone wants to go on a date hike Imma decline that shit quick !!!! 	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T16:41:59.000Z	1424048183441756160	Looking Beach, CA. Rental $0,0/month, beach wedding, JenEnergy beach aerobics class, beachside living and the Cali life. Wedding Day here we come! @ Long Beach, California 	{'place_id': '01c060cf466c6ce3', 'coordinates': {'type': 'Point', 'coordinates': [-118.1938, 33.7692]}}
2021-08-07T16:34:26.000Z	1424046285569466368	wore crocks to a bar last night.	{'place_id': '3e5f2219d3106113'}
2021-08-07T16:23:10.000Z	1424043451172081668	I was feeling stressed out.Came to the gym and now I’m feeling good. 😎	{'place_id': '7df6f50f15138f28'}
2021-08-07T16:15:20.000Z	1424041479715000325	It was packed, literally no where to park. going to the gym instead. 	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T15:44:48.000Z	1424033795976609799	At the Long Beach Marina. Cool temperatures in mid-sixties. Time to head back and start the wedding finalization activities for tonight! @ Long Beach, California 	{'place_id': '01c060cf466c6ce3', 'coordinates': {'type': 'Point', 'coordinates': [-118.1938, 33.7692]}}
2021-08-07T15:34:48.000Z	1424031278253359105	Another walking day in Long Beach, CA. Wedding day for my brother! @ Long Beach, California 	{'place_id': '01c060cf466c6ce3', 'coordinates': {'type': 'Point', 'coordinates': [-118.1938, 33.7692]}}
2021-08-07T15:34:19.000Z	1424031156995981316	I haven’t been to the gym in over a week. Who am I? 🥺	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T15:31:37.000Z	1424030478437294085	I need Cash & Cinco to go on a date IRL now! K, thanks!	{'place_id': '07dccb89e8f25a8f'}
2021-08-07T15:03:55.000Z	1424023503829815297	 Glad you’re healing. You were my best celebrity encounter. I was obsessed with Ben Stiller Show & on a date at Jerry’s Deli when you & the cast walked in. All I could say was “Wow. Bob Odenkirk.” You were so nice walking me around introducing me to everyone. Still warms my heart.	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T12:47:06.000Z	1423989076688916482	 Me at the wedding lol 	{'place_id': '67571a7baaa5906b'}
2021-08-07T10:20:58.000Z	1423952299156676609	I am available now in Orange County, California, United States! To get in touch, visit me on       	{'place_id': '0b93bc6a33455615'}
2021-08-07T07:38:13.000Z	1423911341518032905	Nobody told me that Resort To Love is basically my fav movie of all time, My Best Friends Wedding. Got it. 😍😍😍😍	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T07:35:33.000Z	1423910670408380424	Dj Blacksheep is performing at my wedding	{'place_id': '4baf4d09759d33e4'}
2021-08-07T07:15:39.000Z	1423905662875045890	apparently I was driving someone crazy. I would like to further explore this… yes, late to the party as usual… my sincerest apologies… ;)	{'place_id': '07d9cac980087000'}
2021-08-07T07:15:18.000Z	1423905574865932296	Went to a wedding and now I want to get married 🤕	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T07:14:53.000Z	1423905469647646727	Having my David Rose moment being serenaded by my buttery voiced beau at our wedding a year ago! (Still miss  ) 	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T06:01:13.000Z	1423886932581310465	"I've tried to avoid she who must not be named & first time I saw her today at work. Talking about ""I haven't had a chance to talk wedding stuff with you, what's it been, a year?"" Like no, I only discuss that with people I actually like and care about 🙃😑"	{'place_id': '6f24e28976abe656'}
2021-08-07T05:44:29.000Z	1423882720065642501	I'm so emotional today and I'm watching love is blind rn and they're trying on wedding dresses and I'm just over here crying lmao	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T05:34:03.000Z	1423880094288957441	Trying to make my night better… The Wedding of River Song 	{'place_id': '341aa0cdb944022e'}
2021-08-07T05:23:00.000Z	1423877313565888516	Holy shit. My sisters wedding is lit lol	{'place_id': '10de09f288b1665c'}
2021-08-07T05:16:55.000Z	1423875782061944839	This is the weirdest fucking wedding ceremony in history,  Good God. Who has a wedding where everyone gets to talk in the ceremony? So damn weird. Also, just bring out Sheila. We know she’s there.  	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T05:09:47.000Z	1423873988145516549	Wow i Just got to the gym and of course my AirPods are dead	{'place_id': '3134f9d2892d2685'}
2021-08-07T04:37:21.000Z	1423865824146714631	Join us for another “Biomimicry Meetup” with my friends     and our Biomimicry Club. Tomorrow, Aug 0 at 0:0 PDT in  	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T04:30:52.000Z	1423864193686462465	As I’m working at wedding getting paid to do video. A aunty comes up to and says this a good hobby to have😂	{'place_id': 'c84cc6061e2af8da'}
2021-08-07T04:23:07.000Z	1423862244723462144	Mfs go to the gym just to be on their phone the whole time🙄 fuck outta my way	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T04:02:15.000Z	1423856992683053058	who tryna go on a date	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T03:51:11.000Z	1423854206574682112	I want my boyfriend to wear his dress whites at our wedding but he doesn’t wanna be in uniform but like y’all…me & him in white & everyone else in black a little black tie moment THAT WILL BE SO CUTE..but he can only wear white if it’s the dress whites but not a white tux	{'place_id': '1af9758d2214d4b8'}
2021-08-07T03:11:46.000Z	1423844288534769673	Was super comfortable in an oversized t shirt that I decided to wear it to the gym too. Now that I’m here I’ve realized that I can’t admire myself in the mirror	{'place_id': '0654b676d0359a31'}
2021-08-07T02:50:51.000Z	1423839022456008709	 Yeah I invited some girl to a party in Fallbrook hope she shows.	{'place_id': 'cce33d74ceffbe08'}
2021-08-07T02:02:25.000Z	1423826836128034818	I need to get back to the gym , my GERD is horrible 😖😖😖	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T01:57:24.000Z	1423825570882736131	I should have just went to the gym	{'place_id': 'f8f8ee516109ee0e'}
2021-08-07T01:42:09.000Z	1423821732603777025	Marley is going to be in our wedding. I can’t wait to have him looking this fresh. 	{'place_id': '01c060cf466c6ce3'}
2021-08-07T01:36:29.000Z	1423820307635216389	One like and I won’t go to the gym.	{'place_id': '97e336e1e3ed9e1e'}
2021-08-07T01:31:23.000Z	1423819025042186247	Why is it a thing to go to a restaurant 0 minutes before they close 🖕🏽	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T01:14:06.000Z	1423814676563914755	I’m trying to get this guy from hinge to take me to his brothers wedding so wish me luck 🥳🤪	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T00:50:00.000Z	1423808608521830403	Mom & Dad’s night out 💞 Kickoff to a fun wedding weekend and my FIRST big night out since February 0 🥳 @ Malibu, California 	{'place_id': 'fbd6d2f5a4e4a15e', 'coordinates': {'type': 'Point', 'coordinates': [-118.779, 34.0304]}}
2021-08-07T00:25:09.000Z	1423802356349554689	Pretty sure this was the look  and I made when we surprised everyone by chopping off our hair for our Aunt’s wedding. Good thing one of us grew up 😂 	{'place_id': '3b77caf94bfc81fe'}
2021-08-07T00:20:26.000Z	1423801168933769216	 Going to the gym then going to the driving range pull up	{'place_id': '07432bdb1901f862'}
2021-08-02T02:48:17.000Z	1422026437104570370	 As painful as it is it’s a wise decision!  I hear ya!  I was so looking forward to just going to a club!  Nothing is open here yet! A lot of good bars have closed down!  But we’re here to talk about it!  So that’s positive!  👇 	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T19:21:35.000Z	1422638798471532544	 because that's YOU when we go bowling LMAO	{'place_id': '01c060cf466c6ce3'}
2021-08-03T17:46:04.000Z	1422614761389187073	everyone in LA is coked up talking about their washed career.. bro can we just go bowling or something 😔	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T19:27:59.000Z	1423002796199059456	  I just had to look at your profile pic to know not only are you fat but ugly. Get a haircut please.	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T16:06:49.000Z	1422952169372717058	"screaming ""KOBE"" every time I go bowling now "	{'place_id': '0c2e6999105f8070'}
2021-08-04T02:29:01.000Z	1422746363658338305	My gym teacher every time we go bowling you don’t have to stick your hand at the end 	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T01:27:54.000Z	1422730985594966018	Kinda want to go bowling	{'place_id': 'b2fda7385aa963dd'}
2021-08-05T16:13:14.000Z	1423316174704578563	It’s been awhile since I haven’t fucked up my hair Hahahha so y’all know what that means !!! TO THE SALON	{'place_id': '0c2e6999105f8070'}
2021-08-06T22:39:05.000Z	1423775662234472448	I'm definitely glad I left the dmv before taking the picture to get a haircut 😂 worth it! 💯	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T02:47:48.000Z	1423475866990903296	So THE SUICIDE SQUAD is very very enjoyable and I think you should watch it if you go to the theater or watch on HBO Max. Pre-credits scene and post-credits scene.	{'place_id': '3b77caf94bfc81fe'}
2021-08-08T16:56:58.000Z	1424414343580422149	  There are so many reasons, including those. It’s really a Venn diagram of factors including value, convenience, the industry training audiences to stream, plus the stats regarding how often normal people actually go to the theater in even a normal year. So many more factors too.	{'place_id': '3b77caf94bfc81fe'}
2021-08-08T00:33:58.000Z	1424166962704261120	  Yeah with delta on the rise I’m not going to the theater any time soon. I feel like these “ news sources” don’t have much else to talk about.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T20:57:41.000Z	1422300596338495488	That the shark in the deep end of the pool is gonna get me if I go swimming after sunset 	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T20:56:49.000Z	1422300376447913995	I read what i wrote in my journal a year ago. I was planning to do a small bday gathering/party “but there’s Covid, Miguel!” i said to myself. Nowadays isn’t much different, and even with vaccines it feels kinda weird to make one. Anyway, I’m turning 0 soon.	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T19:55:49.000Z	1422285024208949260	 I love how you’re constantly gathering everybody and their things. 😂😭	{'place_id': '01c060cf466c6ce3'}
2021-08-02T06:21:00.000Z	1422079971623792640	Candy had to pay for The booze. Candy got us backstage for Gathering. of The Tribes I met Ian Atsbury. Kurt Loder asked to interview me for MTV and Kurt and I became friends l saw Ian at Liv Tyler's party we started hanging out he had cut his long hair. He was fun. We lost touch	{'place_id': '3b77caf94bfc81fe'}
2021-08-02T02:55:34.000Z	1422028273035276288	When I say “walk of shame” I am referring to my weekly ritual of gathering all of the empty french fry containers from my car and carrying them to the nearest trash can.	{'place_id': '01c060cf466c6ce3'}
2021-08-03T20:58:11.000Z	1422663109718646788	 0% gathering people, spreading the virus, and having them return home with all these new strains	{'place_id': '3b77caf94bfc81fe'}
2021-08-03T19:34:55.000Z	1422642151729647617	Who wants to massage me lol!    subscribe to my extra onlyfans page for lore 🍆💦 	{'place_id': '1927193c57f35d51'}
2021-08-03T18:46:37.000Z	1422630000440733697	 Hahaha I guess the only way I’ll know is if I get drunk and go swimming in mine. 🤷🏽‍♀️	{'place_id': 'e3505917a639e8ec'}
2021-08-03T15:52:03.000Z	1422586067354492948	  You are completely wrong about this. We need guidance and regulations from local authorities for every Mass gathering until the pandemic is under control, or there will be no gatherings.	{'place_id': 'a75bc1fb166cd594'}
2021-08-03T15:23:49.000Z	1422578962958479368	Reminder that  will be celebrating  tonight with several block parties and a central gathering hosted by  at Johnny Carson Park.Social distancing and appropriate COVID precautions will be encouraged at these outdoor events. Please join us! 	{'place_id': 'b0b79caecef59fb5'}
2021-08-03T13:31:16.000Z	1422550638601273347	    Seat belts are not safe. Condoms are not 0% effective. Ok, you know computer science. Gathering metrics and implementing them. Unfortunately your ability to read covid data is corrupted. You are cherry picking incorrect and poorly manipulated data from conspiracy theorists	{'place_id': '3b77caf94bfc81fe'}
2021-08-04T04:52:09.000Z	1422782384978628609	@ dodgers, my car overheated on the way here and I had to leave it and hike up to the stadium, and will have to tow it after the game….DO NOT LET MY CAR DIE IN VAIN.	{'place_id': '3b77caf94bfc81fe'}
2021-08-05T02:02:12.000Z	1423102003253706752	  *me gathering fresh ones to help you* 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T18:34:31.000Z	1423714115256676352	Yeah, I’m going to the stadium tonight . 🙃	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T17:17:29.000Z	1423694732748673025	✅Allow Me To Massage Your Life✋🏼 🤚 	{'place_id': '3b77caf94bfc81fe'}
2021-08-06T14:33:25.000Z	1423653444133429249	From the streets to the stadium..⚡️⚡️⚡️	{'place_id': '56909099a1d44057'}
