2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
2021-03-18T15:38:12.000Z	1372573056519049217	I need to go shopping but shopping while pregnant ain’t it	{'place_id': '002e24c6736f069d'}
2021-03-18T14:50:04.000Z	1372560943281008642	         It is appropriateness of dressing. There is a standard protocol for everything in every day life. JUST LIKE PEOPLE DON'T WEAR PJs to a wedding or a party.	{'place_id': '01a9a39529b27f36'}
2021-03-18T14:18:43.000Z	1372553052838854663	I need to go to the mall	{'place_id': '22bb8afe3a5531fd'}
2021-03-18T12:58:53.000Z	1372532964727328770	 This is awesome — what’s it for? Some BostonTech meetup etc?	{'place_id': '01a9a39529b27f36'}
2021-03-18T11:27:47.000Z	1372510037931929601	Solo trippin thru Sudan, Part 0:  No Alcohol Rule!! + Pyramids, Wedding ...  via 	{'place_id': '01a9a39529b27f36'}
2021-03-18T09:29:05.000Z	1372480164425310209	  I did. We went out on a date after chatting. I took her to the restaurant at the marina and after dinner she wanted to go for a ride on my boat. I said there’s snow on the ground. I took her inside and gave her the tour but wanted a ride in the winter.  Very nice girl. One date!	{'place_id': '27485069891a7938'}
2021-03-18T06:26:12.000Z	1372434143154409479	 I'm comfortable going to a restaurant but I have only been to one in the past year for takeout and eat in. I really like eating at home 🏡	{'place_id': '96ddfc4bf2f1a80c'}
2021-03-18T03:35:30.000Z	1372391181632606209	 peep it. Oshun is with me, haven't been to the gym since last January. 	{'place_id': 'bceb8153865c4a49'}
2021-03-18T02:54:11.000Z	1372380787195179008	I Wanna Go On A Date!!!	{'place_id': '011add077f4d2da3'}
2021-03-18T02:47:30.000Z	1372379104595562497	My Wedding Song Gonna Be Chris Brown Aint No Way 😅🤞🏾🔥	{'place_id': '00c39537733fa112'}
2021-03-18T02:25:38.000Z	1372373602507575302	I need to go start going to the Gym ..	{'place_id': 'fa3435044b52ecc7'}
2021-03-18T01:37:04.000Z	1372361378040795138	All of America ships Happy and Aunt May, right? I need a big Avengers wedding with everyone that’s left.	{'place_id': '01a9a39529b27f36'}
2021-03-18T01:11:08.000Z	1372354853222121473	How do i plan a bachelor party for a born again christian when the mets arent playing anywhere that would be cool to travel to at any point leading up to the wedding??	{'place_id': '00c55f041e27dc51'}
2021-03-18T01:07:18.000Z	1372353886049214466	It was nice to return to the  today! A little ominous but still a nice return to something from pre Covid. Me and the other guy in there laughed our heads off at    	{'place_id': '01a9a39529b27f36'}
2021-03-18T00:51:44.000Z	1372349970129559559	Welcome to the party Zibby. We’ve been expecting you	{'place_id': '00c39537733fa112'}
2021-03-18T00:28:55.000Z	1372344228961980416	Or eat my pussy then take me on a date then eat my pussy again lmaoo 	{'place_id': '00c39537733fa112'}
2021-03-20T23:40:56.000Z	1373419317539266569	Was going thru fb and came across Tony’s best friend from the bar passed this morning I also knew him tony and I were in their wedding party Mike the main bartender at the time the best ❤️but he developed brain cancer survived two tumors but they came back he was hospice at home	{'place_id': '011add077f4d2da3'}
2021-03-20T23:31:10.000Z	1373416856904667141	NYC wedding photography & photo booths 💙 	{'place_id': '011add077f4d2da3'}
2021-03-20T23:24:57.000Z	1373415295554093068	 gaudy vegas wedding is secretly my dream like i think it would be SO fun	{'place_id': '00c39537733fa112'}
2021-03-20T23:23:07.000Z	1373414831760535560	"Maybe men just need directions. A tattoo of ""Eat Out More Often"" could be a good start."	{'place_id': '01a9a39529b27f36'}
2021-03-20T22:27:18.000Z	1373400785686499329	Why aren’t the police at that wedding?	{'place_id': '00c39537733fa112'}
2021-03-20T22:22:31.000Z	1373399580604301312	 is my cup of teaaaaaaa. Couples picking between a home or a wedding...give me 0 seasons. 	{'place_id': '01a9a39529b27f36'}
2021-03-20T21:51:46.000Z	1373391841261985792	Wedding party, Playland boardwalk 	{'place_id': '07d9ce109b084002'}
2021-03-20T21:40:49.000Z	1373389088619966474	Never thought I’d say this... But after hibernating throughout this pandemic, shopping for a bachelorette party & wedding weekend has me pree-ti excited 💃🏽	{'place_id': '00c39537733fa112'}
2021-03-20T21:04:01.000Z	1373379828360044547	We are watching Marriage or Mortgage on Netflix, and we scream to the TV every time a couple chooses wedding since the show was filmed pre-covid. 	{'place_id': '011add077f4d2da3'}
2021-03-20T20:48:11.000Z	1373375841762209794	I’m a little late to the party,but  is a beautiful movie. Top Tier  	{'place_id': 'dc4ad595a56393ac'}
2021-03-20T20:45:14.000Z	1373375100993568771	Yu gotta b desperate to eat out that crap	{'place_id': '01a9a39529b27f36'}
2021-03-20T18:55:04.000Z	1373347376841306120	I can't wait for you all to watch my zoom wedding with     	{'place_id': '00c39537733fa112'}
2021-03-20T18:44:32.000Z	1373344723734257667	just booked a first class flight for my final wedding of the year. The flight is to Detroit but let’s just focus on the first class part.	{'place_id': 'e9143a85705b4d40'}
2021-03-20T18:26:44.000Z	1373340244804796426	Congratulations on the wedding 	{'place_id': '559cf1d51980ff42'}
2021-03-17T20:22:53.000Z	1372282313548136457	I act like I’m okay but deep down I wanna get paid just to show up to a club 🌚	{'place_id': 'b046074b1030a44d'}
2021-03-17T16:19:01.000Z	1372220939795054601	“ if he get a haircut And his car wash the same day he’s bout to cheat “ LMFAO BRUH 😂	{'place_id': 'c418b0c82daabc44'}
2021-03-19T20:10:33.000Z	1373003984173170691	Made Ash come to the Museum of Sex 😜😂😂	{'place_id': '01a9a39529b27f36'}
2021-03-20T23:53:42.000Z	1373422528912326659	Not me all dolled up just to get drunk and go bowling 💖✨ 	{'place_id': '00c39537733fa112'}
2021-03-20T16:46:14.000Z	1373314953701163009	I need to go to a spa	{'place_id': '926fea31818e07d2'}
2021-03-21T19:06:32.000Z	1373712649469489152	Going to the spa & having brunch alone was the best decision I ever made .	{'place_id': '01a9a39529b27f36'}
2021-03-21T18:10:32.000Z	1373698555320369160	    Restaurants are at 0%, schools are back in person at about 0%. I can go get a haircut or my nails done, museums are open.  Cases are stable. No more bodies in freezer trucks. High rates of mask compliance such as in NYC absolutely works.	{'place_id': '01a9a39529b27f36'}
2021-03-15T14:22:46.000Z	1371466908541845505	 UN’s largest gathering on gender equality & women’s rights starting today, focusing on women’s full and effective participation and decision-making in public life and elimination of violence. Latvia 🇱🇻 will be represented by the Minister of Welfare   	{'place_id': '01a9a39529b27f36'}
2021-03-15T05:18:07.000Z	1371329843380428802	I look forward to gathering again soon with my brothers at arms. This pic is only a few of us God is good. *Pic taken pre second covid wave @ East Harlem, Manhattan, NY 	{'coordinates': {'type': 'Point', 'coordinates': [-73.947201, 40.7907785]}, 'place_id': '01a9a39529b27f36'}
2021-03-15T01:28:39.000Z	1371272097285165059	One year. Gathering w neighbors to honor those lives lost and look ahead, hopeful for the city.  	{'place_id': '01a9a39529b27f36'}
2021-03-15T01:03:14.000Z	1371265699620999168	 Rebrand it as intelligence gathering 👍	{'place_id': '011add077f4d2da3'}
2021-03-19T19:37:02.000Z	1372995547683033088	Play Party: A social gathering where guests can engage in BDSM activity.	{'place_id': '011add077f4d2da3'}
2021-03-19T15:38:21.000Z	1372935482552635392	Calling all women for a Women’s Prayer Gathering! @ International Christian Center 	{'place_id': '00c55f041e27dc51', 'coordinates': {'type': 'Point', 'coordinates': [-74.1591427, 40.61093089]}}
2021-03-19T08:15:34.000Z	1372824052654481411	 a cozy small town we all love terrorized by military terrorists this morning while civilians were gathering for a strike. Currently,0 deaths,0 injured by live ammunitions(casualties may rise)& some were arrested. Source- BBC BURMESE   	{'place_id': '01a9a39529b27f36'}
2021-03-20T17:31:04.000Z	1373326237440077827	The anti lockdown protestors are all gathering at Union square but they have a real heady looping drums and mbira best going	{'place_id': '01a9a39529b27f36'}
2021-03-20T15:58:11.000Z	1373302863024300036	so you want us to go outside and start hunting and gathering again or what’s your plan for having us support the land? because modern day animal agriculture is the farthest thing from being anything of the sort 	{'place_id': '011add077f4d2da3'}
2021-03-20T15:41:06.000Z	1373298561371287558	 You’re right. On the website it had today’s date at the top. I did not look at it close enough. My mistake. That being said, gathering in an enclosed environment with many others with out masks is idiotic.	{'place_id': '01a9a39529b27f36'}
2021-03-20T14:18:30.000Z	1373277773989560325	It brings me joy to be a good host. I’m actually a great host when I have people over or even in the summer when I’d have people over my parents crib to go swimming. I have food, music, games, etc. - I like taking care of people ☺️🤎	{'place_id': 'c8cc2f5f5fe306fa'}
2021-03-20T10:32:10.000Z	1373220816066916352	I keep looking outside so that I’ll be able to watch Hunter wander in and out of the frame as she limps up the breach. She appears to be gathering weapons.	{'place_id': '011add077f4d2da3'}
2021-03-21T13:26:31.000Z	1373627081066692613	IMPACT is beginning in about 0 hour. Get ready for church!!!           @ Christ Nation Church 	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.76124, 40.69558]}}
2021-03-21T12:27:06.000Z	1373612126418386945	   And continuing mitigation, masks, distancing, limit indoor gathering until 0 weeks after 0% vaccinated.	{'place_id': '002e24c6736f069d'}
2021-03-21T07:32:05.000Z	1373537883555037186	Blurry selfie from a video I’m editing. I just attended the Worldwide Rally for Freedom in NYC! My 0st protest or activist gathering. Ever.          	{'place_id': '27485069891a7938'}
2021-03-21T02:32:05.000Z	1373462387928489991	 Until it’s time to go swimming then ya head is 0 pounds 😩	{'place_id': '3d3c56338b6a3b4a'}
