91916908	2021-03-15T23:43:54.000Z	1371608125191639040	Wedding venue capacity increases in NY starting today  	{'place_id': 'cbafaaf6455dea32'}
282741717	2021-03-18T18:19:50.000Z	1372613734712102919	 I get off at 0 and have to go to the mall after. Lord give me strength 😫	{'place_id': 'c418b0c82daabc44'}
50096916	2021-03-18T18:01:52.000Z	1372609211067170823	For the Brides  	{'coordinates': {'type': 'Point', 'coordinates': [-74.0007613, 40.7207559]}, 'place_id': '01a9a39529b27f36'}
301767893	2021-03-18T17:48:54.000Z	1372605950062776323	Shine as bright as your wedding dress from the Big Day 👰✨ @ New York, New York 	{'coordinates': {'type': 'Point', 'coordinates': [-74.0064, 40.7142]}, 'place_id': '01a9a39529b27f36'}
29578912	2021-03-18T17:40:00.000Z	1372603708995952644	 Find me a wedding look. I need it in 0 weeks	{'place_id': '01a9a39529b27f36'}
749510060007718912	2021-03-18T17:37:16.000Z	1372603022463893504	I just wanna go on a date with one of my girlfriends. I really just need to drink  and talk my shit.	{'place_id': '00c39537733fa112'}
2164225647	2021-03-18T16:29:00.000Z	1372585842271780864	 Lmao in that case get your ass up and go to the gym	{'place_id': '011add077f4d2da3'}
18722612	2021-03-18T16:25:54.000Z	1372585061422411781	 The ceremony is a formality. The wedding is the festive meal.	{'place_id': '00c39537733fa112'}
18722612	2021-03-18T16:24:47.000Z	1372584781557469184	 I am literally incapable of processing that as a wedding. If you're having an emergency ceremony at City Hall you still have to go out after.	{'place_id': '00c39537733fa112'}
1270858780067143683	2021-03-18T16:01:03.000Z	1372578806985330698	 My 0 yo son who gets upat 0 am to go to the gymwith me.And who couldn't stop talkingabout the Grammy awardfor Megan Thee Stallion.Apparently he was very upsetabout it.  	{'place_id': '0952701477146000'}
499878539	2021-03-18T15:38:12.000Z	1372573056519049217	I need to go shopping but shopping while pregnant ain’t it	{'place_id': '002e24c6736f069d'}
19427968	2021-03-18T14:50:04.000Z	1372560943281008642	         It is appropriateness of dressing. There is a standard protocol for everything in every day life. JUST LIKE PEOPLE DON'T WEAR PJs to a wedding or a party.	{'place_id': '01a9a39529b27f36'}
543704126	2021-03-18T14:18:43.000Z	1372553052838854663	I need to go to the mall	{'place_id': '22bb8afe3a5531fd'}
418	2021-03-18T12:58:53.000Z	1372532964727328770	 This is awesome — what’s it for? Some BostonTech meetup etc?	{'place_id': '01a9a39529b27f36'}
137828255	2021-03-18T11:27:47.000Z	1372510037931929601	Solo trippin thru Sudan, Part 0:  No Alcohol Rule!! + Pyramids, Wedding ...  via 	{'place_id': '01a9a39529b27f36'}
1164990017078484992	2021-03-18T09:29:05.000Z	1372480164425310209	  I did. We went out on a date after chatting. I took her to the restaurant at the marina and after dinner she wanted to go for a ride on my boat. I said there’s snow on the ground. I took her inside and gave her the tour but wanted a ride in the winter.  Very nice girl. One date!	{'place_id': '27485069891a7938'}
224696330	2021-03-18T06:26:12.000Z	1372434143154409479	 I'm comfortable going to a restaurant but I have only been to one in the past year for takeout and eat in. I really like eating at home 🏡	{'place_id': '96ddfc4bf2f1a80c'}
45961868	2021-03-18T03:35:30.000Z	1372391181632606209	 peep it. Oshun is with me, haven't been to the gym since last January. 	{'place_id': 'bceb8153865c4a49'}
1207482570881024000	2021-03-18T02:54:11.000Z	1372380787195179008	I Wanna Go On A Date!!!	{'place_id': '011add077f4d2da3'}
84017013	2021-03-18T02:47:30.000Z	1372379104595562497	My Wedding Song Gonna Be Chris Brown Aint No Way 😅🤞🏾🔥	{'place_id': '00c39537733fa112'}
1347070226249232384	2021-03-18T02:25:38.000Z	1372373602507575302	I need to go start going to the Gym ..	{'place_id': 'fa3435044b52ecc7'}
165196215	2021-03-18T01:37:04.000Z	1372361378040795138	All of America ships Happy and Aunt May, right? I need a big Avengers wedding with everyone that’s left.	{'place_id': '01a9a39529b27f36'}
25553707	2021-03-18T01:11:08.000Z	1372354853222121473	How do i plan a bachelor party for a born again christian when the mets arent playing anywhere that would be cool to travel to at any point leading up to the wedding??	{'place_id': '00c55f041e27dc51'}
811481126	2021-03-18T01:07:18.000Z	1372353886049214466	It was nice to return to the  today! A little ominous but still a nice return to something from pre Covid. Me and the other guy in there laughed our heads off at    	{'place_id': '01a9a39529b27f36'}
919890572	2021-03-18T00:51:44.000Z	1372349970129559559	Welcome to the party Zibby. We’ve been expecting you	{'place_id': '00c39537733fa112'}
735975897715646464	2021-03-18T00:28:55.000Z	1372344228961980416	Or eat my pussy then take me on a date then eat my pussy again lmaoo 	{'place_id': '00c39537733fa112'}
1400632075	2021-03-20T23:40:56.000Z	1373419317539266569	Was going thru fb and came across Tony’s best friend from the bar passed this morning I also knew him tony and I were in their wedding party Mike the main bartender at the time the best ❤️but he developed brain cancer survived two tumors but they came back he was hospice at home	{'place_id': '011add077f4d2da3'}
1274483390247550976	2021-03-20T23:31:10.000Z	1373416856904667141	NYC wedding photography & photo booths 💙 	{'place_id': '011add077f4d2da3'}
742477399653257216	2021-03-20T23:24:57.000Z	1373415295554093068	 gaudy vegas wedding is secretly my dream like i think it would be SO fun	{'place_id': '00c39537733fa112'}
1218048359337988096	2021-03-20T23:23:07.000Z	1373414831760535560	"Maybe men just need directions. A tattoo of ""Eat Out More Often"" could be a good start."	{'place_id': '01a9a39529b27f36'}
2263497001	2021-03-20T22:27:18.000Z	1373400785686499329	Why aren’t the police at that wedding?	{'place_id': '00c39537733fa112'}
308124464	2021-03-20T22:22:31.000Z	1373399580604301312	 is my cup of teaaaaaaa. Couples picking between a home or a wedding...give me 0 seasons. 	{'place_id': '01a9a39529b27f36'}
19873397	2021-03-20T21:51:46.000Z	1373391841261985792	Wedding party, Playland boardwalk 	{'place_id': '07d9ce109b084002'}
924913830	2021-03-20T21:40:49.000Z	1373389088619966474	Never thought I’d say this... But after hibernating throughout this pandemic, shopping for a bachelorette party & wedding weekend has me pree-ti excited 💃🏽	{'place_id': '00c39537733fa112'}
781314	2021-03-20T21:04:01.000Z	1373379828360044547	We are watching Marriage or Mortgage on Netflix, and we scream to the TV every time a couple chooses wedding since the show was filmed pre-covid. 	{'place_id': '011add077f4d2da3'}
1073180334	2021-03-20T20:48:11.000Z	1373375841762209794	I’m a little late to the party,but  is a beautiful movie. Top Tier  	{'place_id': 'dc4ad595a56393ac'}
967450086241394688	2021-03-20T20:45:14.000Z	1373375100993568771	Yu gotta b desperate to eat out that crap	{'place_id': '01a9a39529b27f36'}
36261620	2021-03-20T18:55:04.000Z	1373347376841306120	I can't wait for you all to watch my zoom wedding with     	{'place_id': '00c39537733fa112'}
30122171	2021-03-20T18:44:32.000Z	1373344723734257667	just booked a first class flight for my final wedding of the year. The flight is to Detroit but let’s just focus on the first class part.	{'place_id': 'e9143a85705b4d40'}
199198124	2021-03-20T18:26:44.000Z	1373340244804796426	Congratulations on the wedding 	{'place_id': '559cf1d51980ff42'}
